word_english,imagine_mean,imagine_sd,concrete_mean,conrete_sd,aoa_mean,aoa_sd,familiar_mean,familiar_sd,meaningfulness_mean,meaningfulness_sd
rivet,4,1.84,5.72,1.63,5.3,1.19,2.92,1.29,5.4,2.01
rower,4.76,1.54,5.5,1.66,4.38,1.13,2.42,1.12,4.25,1.89
rugby,5.98,1.19,5.65,1.49,3.97,1.17,3.9,1.22,6.56,2.04
scarf,6.14,1.18,6.35,1.17,2.1,0.58,5.47,1.18,4.65,1.49
scout,5.5,1.57,5.88,1.19,3.27,0.63,3.5,1.34,5,1.69
scrum,5.58,1.4,5.15,1.9,5,1.1,3.15,1.11,4.41,2.03
scyth,5.62,1.28,6.15,1.15,3.92,0.98,2.67,1.25,5.71,1.64
shawl,6.06,1.17,6.35,1.13,3.63,1.02,3.4,1.26,4.85,1.65
snack,5.6,1.37,5.75,1.24,3.38,1.07,5.88,1.12,4.85,1.98
squid,4.54,2.05,5.02,1.81,3.8,1.17,2.7,1.08,3.79,2.28
style,3.24,2.01,3.2,1.81,4.2,0.98,4.88,1.29,4.31,1.53
tempo,3,1.89,3.25,1.67,5.52,1.07,3.13,1.62,4,1.52
thief,4.86,1.82,5.7,1.47,2.85,0.79,4.5,1.41,6.14,1.96
thumb,6.32,1.19,6.5,0.95,1.63,0.7,5.45,1.4,5.2,1.57
token,3.84,1.82,4.82,1.77,4.45,0.89,3.85,1.22,5.9,1.45
tramp,6.1,1.2,6.02,1.17,2.95,0.67,3.85,1.31,5.38,2.04
trend,2.64,1.83,2.55,1.26,5.52,1.16,4.4,1.3,5.45,1.5
trick,3.22,1.75,3.8,1.55,2.7,0.6,4.55,1.3,3.76,1.28
truck,5.94,1.14,6.47,0.77,2.4,0.99,4.55,1.53,4.9,2.52
trump,3.36,1.77,4.25,1.62,5.2,1.23,2.92,1.31,4.14,2.82
tulip,6.46,0.88,6.42,1.22,2.7,0.64,3.17,1.16,5.45,1.77
uncle,5.3,1.45,6,1.14,1.57,0.49,4.8,1.6,4.97,2.13
unity,2.3,1.49,2.15,1.42,5.92,0.88,3.7,1.36,3.45,1.94
valet,4.46,1.81,5.4,1.64,5.5,1.05,2.02,0.88,3.73,2.11
vault,4.38,1.56,4.97,1.82,4.95,0.97,2.95,1.2,6.7,1.85
venom,3.44,1.95,4.32,1.86,5,1.18,2.6,0.89,4.32,1.87
vicar,6.1,1.02,6.22,1.27,3.97,1.15,3.07,1.15,5,1.57
viper,5.28,1.91,5.8,1.62,4.22,0.96,2.25,0.8,4.55,2.22
virus,3.68,1.99,4.88,1.54,5.5,1.12,3.4,1.14,3.85,1.68
visor,4.78,1.72,5.9,1.39,4.77,1.37,2.55,1.22,4.05,2.2
vista,2.96,2.17,3.5,1.8,6.22,1.03,1.88,0.84,2.95,3.25
vixen,4.62,1.77,5.57,1.83,4.52,1.2,2.32,0.75,4.75,2
vodka,5.66,1.61,6.38,1.2,6.05,0.74,4.47,1.69,5.59,2.15
waltz,5.04,1.59,6.38,1.2,3.9,0.99,3.15,1.15,4.41,1.81
watch,6.34,1.27,4.77,1.56,2.4,0.73,6.5,0.87,6.48,1.69
wench,5.12,1.6,6.07,1.35,5.92,0.88,2.75,1.5,4.65,1.62
wharf,4.82,1.62,5.67,1.52,5.32,1.23,2.27,1.05,6.32,2.51
wheat,5.64,1.34,5.57,1.61,3.25,0.92,3.82,1.36,5.03,1.38
width,3.6,1.85,6.32,0.93,3.4,0.89,5,1.24,5.38,1.79
witch,6.08,1.29,3.95,1.64,2.25,0.62,3.17,1.18,6.76,1.94
woman,6.42,0.96,4.52,2,2.07,0.79,6.67,0.57,5.45,1.97
world,5.4,1.6,6.52,1,2.4,0.77,6.05,1,5.41,2.27
wound,5.38,1.6,5.05,1.86,3.42,0.86,3.85,1.3,5.85,1.46
wreck,5.9,1.06,5.55,1.26,3.07,0.75,3.95,1.47,4.8,1.54
youth,5.16,1.83,5.3,1.5,4.07,1.01,5.15,1.31,4.45,1.72
