word_dutch,translate_word_english,familiar_mean,familiar_sd,familiar_n,category,goodness_mean,goodness_sd,goodness_n,typicality_mean,typicality_sd,typicality_n,dont_know_responses,n_know_item,imagine_mean,imagine_sd,log(lemmaFreq),age of acquisition,% known
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,15.96428571,4.26425403,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.51851852
bijl,axe,2.75,0.700528901,28,weapons,13.53571429,4.566237959,28,12.89285714,4.991394711,28,0,29,6.068965517,1.307424799,2.648360011,7.608695652,98.42105263
biljarten,billiards,2.892857143,0.875141712,28,sports,8.678571429,5.135595255,28,9.785714286,5.717789931,28,0,29,6.448275862,0.68588873,2.155336037,9.541666667,100
bizon,bison,2.571428571,0.634126487,28,mammals,14.78571429,4.280508302,28,15.14285714,4.568120496,28,0,29,5.517241379,1.404601867,1.361727836,7.681818182,98.75311721
blikopener,can opener,3.285714286,0.599823607,28,kitchen utensils,16.96428571,3.382768348,28,15.82142857,3.432454811,28,0,26,6,1.264911064,1.544068044,7.875,97.83197832
bloedzuiger,leech,2.178571429,0.611832186,28,insects,10.42857143,6.669047194,28,11.35714286,5.832312836,28,0,29,4.275862069,2.051072049,1.755874856,10.375,98.69791667
bloemkool,cauliflower,3.892857143,0.785954749,28,vegetables,16.64285714,3.841433815,28,18,2.538591035,28,0,32,6.25,1.077631812,1.977723605,6.347826087,100
bloes,blouse,3.928571429,0.939998874,28,clothing,18.64285714,2.197882579,28,17.42857143,3.202181796,28,0,30,5.666666667,1.124441113,2.556302501,6.958333333,97.89473684
boa,boa,2.607142857,0.737326789,28,reptiles,14.17857143,5.157185361,28,13.85714286,5.26141993,28,0,30,5.533333333,1.357821108,2.509202522,11.18181818,97.6127321
boekhouder,accountant,2.821428571,0.862965234,28,professions,13.92857143,3.790129202,28,17.53571429,2.673354708,28,0,29,4.448275862,1.992597137,2.214843848,10.91304348,100
boksbeugel,knuckle dusters,2.285714286,0.854493259,28,weapons,13.15384615,5.98459561,26,11.10714286,5.187872508,28,0,17,4.117647059,1.452685141,5.04,10.63,97.12041885
boksen,boxing,2.821428571,0.722832465,28,sports,15.71428571,3.740243039,28,15.60714286,4.067388695,28,0,31,6.096774194,1.075634346,2.33243846,8,100
bonen,beans,3.678571429,0.772373515,28,vegetables,15.21428571,4.740348033,28,17.96428571,2.00890873,28,0,35,6.142857143,1.141280425,2.810232518,5.708333333,100
boog,bow,2.642857143,0.780042056,28,weapons,12.64285714,5.122313465,28,11.35714286,4.596409917,28,0,36,6.333333333,1.069044968,3.293583513,6.166666667,99.49494949
boormachine,drill,3,0.902670934,28,tools,26,,,17.35714286,2.541715456,28,0,35,5.685714286,1.745101187,1.204119983,6.5,98.27586207
boot,boat,3.25,0.844371342,28,vehicles,26,,,12.75,4.827582786,28,0,35,6.428571429,0.814779446,3.451632947,5,98.78934625
bord,plate,4.857142857,0.356348323,28,kitchen utensils,17.10714286,3.813613876,28,16.17857143,3.972624577,28,0,33,6.303030303,1.211529211,3.43055877,4.625,98.92473118
bosbes,blueberry,3.035714286,0.42879183,28,fruit,13.07142857,5.981010514,28,14.96428571,3.920337692,28,0,35,4.971428571,1.653618391,1.785329835,7.791666667,100
braambessen,blackberry,2.928571429,0.813250061,28,fruit,14.35714286,4.762618994,28,14.39285714,4.669358634,28,0,31,5.258064516,1.788253187,1,6.75,100
brandweerman,fireman,3.178571429,0.862965234,28,professions,15.17857143,4.611206731,28,16.75,3.737943582,28,0,31,6.096774194,1.398924318,1.908485019,5.583333333,100
breekijzer,crowbar,2.25,0.799305254,28,tools,25,,,14.89285714,3.189558029,28,1,31,4.516129032,2.079598803,1.77815125,9.65,94.93975904
broek,pants,4.785714286,0.498675494,28,clothing,19.39285714,1.257254084,28,18.25,2.888354651,28,0,36,6.444444444,0.87650098,3.415807728,4.291666667,98.69451697
bromfiets,scooter,3.214285714,0.832539304,28,vehicles,26,,,16.75,3.596551847,28,0,32,6.4375,1.075759297,2.086359831,8.782608696,99.26289926
brommer,motorbike,3.607142857,0.831744517,28,vehicles,26,,,17.25,2.44381305,28,0,33,6.212121212,0.992395327,2.387389826,7.25,99.50980392
broodrooster,toaster,3.821428571,0.772373515,28,kitchen utensils,17.10714286,3.166248928,28,15.46428571,3.584763465,28,0,31,6.129032258,1.310011081,1.447158031,7.958333333,98.91008174
bus,bus,4.535714286,0.576203594,28,vehicles,26,,,18.5,1.598610508,28,0,34,6.205882353,1.249955436,3.390935107,4.916666667,98.77750611
camion,truck,3.642857143,0.826159599,28,vehicles,25,,,17.07142857,2.853569194,28,0,29,6.586206897,0.866736135,1.361727836,6.041666667,98.28431373
camionette,van,3.357142857,0.951189731,28,vehicles,26,,,18.17857143,1.925531604,28,0,35,5.885714286,1.30093696,0,7.916666667,97.94952681
caravan,trailer ,3.107142857,0.916486274,28,vehicles,26,,,12.60714286,4.901543866,28,0,33,6.090909091,0.97991187,2.176091259,7.333333333,99.50980392
cello,cello,2.464285714,0.792658109,28,musical instruments,15.39285714,4.565079089,28,17.28571429,3.286979283,28,0,35,4.4,1.973351881,1.579783597,10.125,98.28431373
champignons,mushrooms,3.928571429,0.813250061,28,vegetables,11.17857143,6.104361352,28,13.53571429,5.527588335,28,0,32,6.40625,0.910844167,2.457881897,6.791666667,100
cimbalen,cymbals,2.357142857,0.678466993,28,musical instruments,11.73076923,4.565590365,26,14.32142857,5.092140432,28,3,32,5.15625,1.902619162,0.954242509,9.136363636,94.90291262
citroen,lemon,3.714285714,0.599823607,28,fruit,14.10714286,6.762309959,28,15.25,3.845391662,28,0,27,6.666666667,0.67936622,2.680335513,5,100
clementine,clementine,,,,,,,,,,,,,,,2.419955748,8.75,100
clementine,mandarine,3.464285714,0.999338405,28,fruit,16.07142857,4.674030471,28,15.82142857,3.507173299,28,1,31,6.032258065,1.702622898,,,
cobra,cobra,2.535714286,0.63724772,28,reptiles,15.28571429,4.649628761,28,13.92857143,4.594107106,28,0,33,5.666666667,1.574536969,1.602059991,10.04347826,94.89795918
contrabas,double bass,2.607142857,0.831744517,28,musical instruments,15.17857143,4.128075253,28,16.92857143,3.526918406,28,0,32,4.84375,1.815868672,1.079181246,9.347826087,98.01980198
courgette,zucchini,3.214285714,0.832539304,28,vegetables,13.89285714,5.065053001,28,15.78571429,4.581420957,28,0,31,5.516129032,1.434595593,1.414973348,10.5,100
daas,horsefly,2.607142857,1.196887498,28,insects,14.81481481,6.025822874,27,15.92,4.061198509,25,1,32,3.9375,2.184069891,1.301029996,10.10526316,91.4004914
dadels,dates,2.5,0.881917104,28,fruit,8.428571429,4.9248318,28,10.85714286,4.828267734,28,3,31,4.548387097,1.894530895,1.86923172,9.52173913,95.83333333
das,tie,2.928571429,0.71639899,28,clothing,11.64285714,5.005288209,28,12.92857143,4.319881441,28,0,35,6,1.35038121,0.954242509,6.583333333,99.21052632
dierenarts,veterinarian,3.142857143,0.970463261,28,professions,16.07142857,3.650759144,28,16.82142857,3.464674336,28,0,32,4.84375,2.126778193,2.706717782,7.291666667,100
dinosaurus,dinosaur,2.678571429,0.818923025,28,reptiles,13.57142857,5.750546328,28,11.96428571,5.480484859,28,0,29,5.862068966,1.156476729,1.505149978,5.9,98.11827957
directeur,manager,3.25,0.887151079,28,professions,13.89285714,5.020987698,28,17.07142857,2.761220495,28,0,27,5.703703704,1.46273755,3.386677284,6.916666667,100
doedelzak,bagpipe,2.357142857,0.678466993,28,musical instruments,13.85185185,4.630199395,27,15.14285714,4.896818965,28,0,31,5.774193548,1.175008579,1.477121255,9.130434783,99.49238579
dokter,doctor,3.857142857,0.705233647,28,professions,18,1.845916414,28,17.92857143,2.734262328,28,0,32,6.28125,1.30097668,3.792461731,4.875,100
dolfijn,dolphin,3.214285714,0.738223235,28,fish,8.928571429,6.312413235,28,9.178571429,6.152708355,28,0,32,6.5,0.91581094,2.184691431,6.208333333,98.75621891
dolk,dagger,2.642857143,0.678466993,28,weapons,16.75,3.637510341,28,17.21428571,2.543796272,28,0,28,5.928571429,1.245096201,2.356025857,8.041666667,98.9821883
dromedaris,dromedary,2.464285714,0.5078745,28,mammals,13.08,5.407710545,25,14.42857143,4.646213683,28,0,31,5.516129032,1.74873226,1.113943352,8.125,97.06601467
druif,grape,3.964285714,0.63724772,28,fruit,17.28571429,3.526168237,28,17.5,2.61760422,28,0,32,6.5,0.87988269,3.004321374,5.291666667,100
drumstel,drum set,3.428571429,0.835710894,28,musical instruments,16.89285714,3.381203881,28,17.67857143,2.695037572,28,0,28,6.285714286,1.013141168,1.146128036,8.375,98.99497487
duif,dove,3.964285714,0.792658109,28,birds,18.82142857,2.261654121,28,18.14285714,2.0676393,28,0,34,6.323529412,1.065167172,2.915399835,6,99.50980392
duikboot,submarine,2.535714286,0.792658109,28,vehicles,26,,,7.321428571,5.121151284,28,0,30,6.133333333,1.224275531,1.86332286,7.875,99.50248756
duizendpoot,centipede,2.464285714,0.63724772,28,insects,10.71428571,6.011452914,28,13.78571429,5.659192082,28,1,25,5.48,1.636052159,1.380211242,7.25,97.65625
dwarsfluit,flute,2.964285714,0.792658109,28,musical instruments,16.67857143,3.64187143,28,18,2.748737084,28,0,33,6.090909091,1.354705604,1.397940009,7.956521739,98.75930521
eekhoorn,squirrel,3.035714286,0.692934867,28,mammals,10,6.18840014,28,14.57142857,4.677990796,28,0,31,6.193548387,1.013882138,2.161368002,6.583333333,98.26732673
eend,duck,3.785714286,0.738223235,28,birds,11.17857143,5.347575231,28,12.78571429,4.184248619,28,0,31,6.483870968,1.121634752,3.005609445,4.869565217,99.25187032
egel,hedgehog,2.857142857,0.59093684,28,mammals,10.53571429,5.117016947,28,13.17857143,4.96695429,28,0,34,6.382352941,0.888127273,2.130333768,5.916666667,99.00990099
ekster,magpie,2.964285714,0.744468135,28,birds,16.57142857,4.383712036,28,17.89285714,2.042860843,28,0,31,5,1.673320053,2.10720997,7.291666667,98.28009828
engelse sleutel,adjustable spanner,2.214285714,0.786795792,28,tools,,,,16.40740741,2.790909133,27,1,30,3.966666667,1.90250893,0,11.72222222,89.12037037
engelse sleutel,spanner,,,,,24,,,,,,,,,,,,
erwten,peas,3.535714286,0.881166855,28,vegetables,15.39285714,4.98396901,28,17.18518519,3.150543751,27,0,33,6.696969697,0.585493835,2.305351369,5.708333333,100
ezel,donkey,3.178571429,0.904866326,28,mammals,16.89285714,3.130959925,28,16.82142857,3.732277345,28,0,34,6.617647059,0.696950321,2.711807229,5.75,98.75621891
fagot,bassoon,2.142857143,0.59093684,28,musical instruments,13.07142857,5.785861256,28,15.44444444,4.602117684,27,5,30,3.633333333,1.790460032,1.079181246,10.42857143,90.25522042
fazant,pheasant,2.821428571,0.818923025,28,birds,13.25,4.460734037,28,13.71428571,3.895459302,28,0,34,5.029411765,1.833778912,2.093421685,8.304347826,98.05825243
fiets,bicycle,4.75,0.440958552,28,vehicles,26,,,17.07142857,3.526918406,28,0,28,6.75,0.518187725,3.311329952,4.565217391,99.00990099
fles,bottle,4.892857143,0.314970394,28,kitchen utensils,12.17857143,5.270839215,28,11.78571429,5.223572943,28,0,33,6.575757576,0.902437776,3.677515705,4.391304348,99.5658466
fluit,flute,3.25,0.844371342,28,musical instruments,16.64285714,3.561255352,28,17.85714286,2.927700219,28,0,32,5.75,1.481063262,2.36361198,6.217391304,99.25
forel,trout,2.892857143,0.628890011,28,fish,17.32142857,4.190408549,28,17.89285714,2.346617514,28,1,31,5.096774194,1.578075594,2.120573931,9.086956522,98.01488834
