word_dutch,translate_word_english,origin,aoa_mean,aoa_sd,aoa_unknown,arousal_mean,arousal_sd,arousal_unknown,concrete_mean,concrete_sd,concrete_unknown,dominance_mean,dominance_sd,dominance_unknown,familiar_mean,familiar_sd,familiar_unknown,imagine_mean,imagine_sd,imagine_unknown,valence_mean,valence_sd,valence_unknown,length,syllables,bigram,neighbors,freq_celex,freq_subtlex,instrength,betweenness
braaf,well-behaved,van Loon - Vervoorn (1985),3.40,1.19,0,2.65,1.04,0,4.15,1.31,0,2.95,1.43,0,4.85,1.18,0,4.50,1.54,0,5.40,1.10,0,5,1,30586,5,1036,1967,3.394106966,0.000479396
brandend,burning,Berrian et al. (1979),7.65,2.43,0,5.95,0.76,0,5.25,1.21,0,5.00,0.86,0,4.55,1.70,0,5.95,1.39,0,2.85,1.46,0,8,2,96180,0,544,1,NaN,NaN
breed,wide,van Loon - Vervoorn (1985),5.70,1.66,0,4.50,1.24,0,4.00,1.56,0,5.15,0.75,0,5.55,1.15,0,6.30,1.13,0,3.80,1.06,0,5,1,32217,3,5558,471,2.267067283,0.000384814
briljant,briljant,Berrian et al. (1979),9.70,2.23,0,5.70,0.92,0,4.55,1.43,0,5.85,0.93,0,2.80,1.44,0,4.10,1.83,0,6.10,0.72,0,8,2,42278,0,470,1273,0.214810782,4.66259E-05
Brits,british,Berrian et al. (1979),10.65,1.93,0.15,3.95,1.10,0,5.10,2.53,0,3.90,0.97,0,2.65,1.14,0,4.85,2.13,0,4.25,0.79,0,5,1,25386,6,1429,233,NaN,NaN
broeds,broody,van Loon - Vervoorn (1985),11.14,2.73,0.65,4.40,1.82,0.75,3.00,1.31,0.25,3.43,1.62,0.65,1.71,1.20,0.3,2.80,1.87,0.5,3.60,0.83,0.25,6,1,29015,0,6,1,NaN,NaN
bruikbaar,usable,De Deyne et al. (2014),8.60,1.96,0,3.95,1.32,0,3.90,1.62,0,4.40,1.43,0,4.70,1.22,0,3.50,1.93,0,4.15,1.23,0,9,2,45370,0,876,210,0.511740733,0.000120942
bruin,brown,van Loon - Vervoorn (1985),2.90,1.21,0,3.40,1.19,0,5.55,1.64,0,3.00,1.12,0,5.35,1.53,0,6.40,1.50,0,4.35,1.57,0,5,1,32276,5,1655,1148,14.27382857,0.001966831
brutaal,cheeky,van Loon - Vervoorn (1985),7.10,2.77,0,5.65,0.67,0,4.90,1.02,0,5.65,1.04,0,5.25,1.29,0,5.20,1.70,0,2.55,1.05,0,7,2,36800,0,782,755,1.736535093,0.000225821
bruut,brute,van Loon - Vervoorn (1985),8.50,2.59,0,5.50,0.89,0,4.35,1.57,0,5.45,1.19,0,3.55,1.88,0,4.35,1.60,0,1.85,0.75,0,5,1,9864,1,207,231,0.754373874,0.000193077
buitengewoon,special,van Loon - Vervoorn (1985),8.95,1.85,0,5.30,1.08,0,3.45,1.64,0,5.15,1.23,0,4.70,1.38,0,4.35,1.93,0,5.37,1.01,0.05,12,4,121188,0,1639,677,0.706352029,6.09183E-05
bulderend,booming,Berrian et al. (1979),10.25,2.45,0,5.92,1.68,0.4,4.11,1.45,0.05,5.79,1.31,0.3,1.90,0.97,0,5.50,1.92,0.1,2.80,1.11,0,9,3,118591,0,0,0,NaN,NaN
burgerlijk,civil,Berrian et al. (1979),10.50,2.35,0,3.80,1.24,0,4.35,1.73,0,4.00,1.08,0,3.60,1.76,0,4.05,2.11,0,3.90,0.91,0,10,3,89035,0,1759,184,0.582606195,0.000176533
capabel,capable,Berrian et al. (1979),12.16,2.91,0.05,4.85,1.31,0,4.60,1.54,0,4.89,1.52,0.05,2.50,1.28,0,3.35,2.18,0,5.55,0.83,0,7,3,38632,0,46,65,0.163909371,1.95869E-05
centraal,central,Berrian et al. (1979),9.15,2.43,0,3.90,1.29,0,5.15,1.18,0,4.30,0.98,0,4.15,1.53,0,4.80,1.96,0,4.30,0.73,0,8,2,82820,0,4915,614,0.406158022,7.70428E-05
chagrijnig,miserable,van Loon - Vervoorn (1985),10.90,2.43,0,3.95,1.61,0,5.15,1.31,0,4.85,1.35,0,2.45,1.43,0,4.90,1.55,0,2.20,0.62,0,10,3,64160,0,109,176,0.316005233,4.14127E-05
chaotisch,chaotic,van Loon - Vervoorn (1985),9.85,2.66,0,5.65,1.42,0,4.10,1.77,0,4.80,1.40,0,4.45,1.47,0,5.60,1.76,0,2.95,0.94,0,9,3,68530,0,320,83,0.467106651,6.30823E-05
charmant,charming,De Deyne et al. (2014),9.55,2.31,0,4.30,1.30,0,4.15,1.18,0,4.90,1.25,0,4.25,1.52,0,4.40,1.73,0,5.35,1.53,0,8,2,62337,0,490,763,0.621042886,5.59394E-05
chique,chic,De Deyne et al. (2014),8.10,2.34,0,4.20,1.51,0,4.25,1.16,0,5.25,1.12,0,5.10,1.41,0,5.55,1.28,0,4.75,1.21,0,6,1,18036,2,374,41,2.557196851,0.00036604
cirkelvormig,circular,De Deyne et al. (2014),6.55,2.24,0,3.15,1.39,0,6.20,1.15,0,3.55,1.36,0,3.55,1.28,0,6.65,0.81,0,3.65,0.88,0,12,4,61339,0,116,2,0.038361043,6.93141E-06
commercieel,commercial,De Deyne et al. (2014),11.00,2.00,0,4.45,1.43,0,3.65,1.27,0,4.70,1.08,0,4.60,1.43,0,4.75,1.97,0,3.85,1.09,0,11,3,107111,0,787,198,0.411289097,7.9734E-05
communistisch,communist,Berrian et al. (1979),12.95,2.54,0,4.05,1.84,0.05,5.70,1.26,0,4.70,1.63,0,3.30,1.72,0,4.95,1.50,0,3.15,1.35,0,13,4,89696,0,1118,189,0.043770754,6.26756E-06
compleet,complete,van Loon - Vervoorn (1985),8.55,2.48,0,4.45,1.36,0,4.65,1.66,0,5.05,0.83,0,5.75,0.97,0,4.35,2.16,0,4.90,1.12,0,8,2,40177,0,1368,1969,0.588710195,5.36777E-05
conventioneel,conventional,Berrian et al. (1979),13.53,2.32,0.05,3.60,0.99,0.25,3.50,1.71,0.2,3.69,1.40,0.2,2.50,1.36,0,2.79,1.13,0.05,4.16,0.69,0.05,13,4,131084,0,456,71,0.026406326,6.98998E-06
correct,correct,Berrian et al. (1979),6.75,2.71,0,3.80,1.28,0,4.85,1.60,0,4.75,1.21,0,4.65,1.57,0,4.30,2.20,0,5.35,1.18,0,7,2,32786,0,543,751,2.905204693,0.000264259
corrupt,putrid,Berrian et al. (1979),10.95,2.33,0,4.50,1.43,0,5.25,1.41,0,4.35,1.93,0,3.25,1.37,0,4.50,2.48,0,2.35,1.18,0,7,2,18084,0,177,468,0.357126377,7.22071E-05
creatief,creative,De Deyne et al. (2014),8.20,2.57,0,5.10,1.25,0,4.75,1.21,0,5.25,1.12,0,4.95,1.50,0,3.70,1.63,0,5.30,1.34,0,8,3,55958,0,947,452,3.201229828,0.000672265
cultureel,cultural,van Loon - Vervoorn (1985),10.60,1.76,0,4.45,1.39,0,4.70,1.92,0,4.10,1.37,0,4.75,1.71,0,3.80,1.88,0,5.10,1.29,0,9,3,56022,0,2469,221,0.166585105,3.34497E-05
dagelijks,daily,van Loon - Vervoorn (1985),7.25,2.55,0,4.45,1.23,0,6.00,1.59,0,3.70,1.17,0,5.50,1.50,0,4.35,2.25,0,4.20,0.77,0,9,3,66933,0,3978,765,1.937144704,0.000339567
dankbaar,grateful,van Loon - Vervoorn (1985),7.45,2.19,0,4.40,1.14,0,5.10,1.33,0,4.25,1.33,0,5.25,1.71,0,4.60,1.23,0,5.70,0.92,0,8,2,50211,1,1434,1641,0.619558628,0.000104176
dapper,brave,van Loon - Vervoorn (1985),6.65,2.91,0,5.65,0.81,0,4.85,1.04,0,5.75,1.02,0,3.75,1.48,0,4.85,1.63,0,5.75,0.72,0,6,2,54619,7,695,1395,1.038848997,0.0001432
decadent,decadent,De Deyne et al. (2014),13.55,1.96,0,4.44,1.34,0.1,3.94,1.39,0.15,5.17,1.29,0.1,2.55,1.47,0,4.95,2.04,0,2.89,1.41,0.1,8,3,77278,0,168,57,0.302752511,0.000143008
definitief,final,Berrian et al. (1979),10.00,2.27,0,4.35,1.76,0,5.35,1.69,0,5.75,1.12,0,4.80,1.47,0,4.30,2.27,0,3.80,1.24,0,10,4,80334,0,1994,379,0.906134278,0.00014582
deftig,distinguished,van Loon - Vervoorn (1985),7.37,2.31,0.05,3.70,1.34,0,4.45,1.70,0,4.60,1.39,0,4.70,1.53,0,6.00,1.30,0,4.85,1.04,0,6,2,35143,2,647,153,2.45425437,0.000384651
democratisch,democratic,van Loon - Vervoorn (1985),11.60,1.96,0,4.55,1.32,0,5.25,1.21,0,4.25,1.77,0,4.35,1.42,0,4.70,1.95,0,5.05,0.89,0,12,4,86368,0,1553,162,0.095882772,2.3352E-05
depressief,depressed,De Deyne et al. (2014),9.85,2.35,0,2.40,1.60,0,4.55,1.50,0,4.20,2.17,0,5.10,1.55,0,4.45,1.73,0,1.50,1.19,0,10,3,67938,2,246,518,1.717578592,0.000262098
derde,three,Berrian et al. (1979),5.05,1.47,0,3.60,0.99,0,5.32,2.38,0.05,3.25,1.07,0,4.70,1.13,0,4.50,2.26,0,3.40,0.75,0,5,2,71938,1,0,1,0.471476297,0.000108351
deugdzaam,good,Berrian et al. (1979),11.10,2.49,0,3.65,1.57,0,4.05,1.61,0.05,4.15,1.35,0,3.20,1.44,0,3.80,1.54,0,5.55,0.76,0,9,2,39406,0,85,53,0.074234851,3.65542E-05
dicht,close,van Loon - Vervoorn (1985),4.70,1.75,0,3.00,1.30,0,4.85,2.03,0,4.00,1.21,0,4.75,1.62,0,4.60,2.01,0,3.30,1.13,0,5,1,29429,6,8733,8103,3.146561543,0.000472678
dichtbij,near,Berrian et al. (1979),5.55,1.64,0,4.00,1.03,0,4.20,1.82,0,4.00,1.38,0,5.55,0.94,0,5.50,1.93,0,4.85,1.18,0,8,2,43558,0,2273,2162,2.591008038,0.000438202
dichter,closer,Berrian et al. (1979),6.20,2.42,0,3.80,1.24,0,4.30,1.75,0,3.85,1.31,0,5.75,1.12,0,4.05,1.88,0,4.40,0.75,0,7,2,89215,5,8733,948,1.221559535,0.000218551
diep,deep,van Loon - Vervoorn (1985),5.25,1.68,0,4.05,1.67,0,3.75,1.48,0,4.45,1.10,0,5.75,1.07,0,5.50,1.82,0,3.65,1.04,0,4,1,26033,8,11667,4407,2.816661365,0.000819019
dieper,lower,Berrian et al. (1979),5.85,1.60,0,4.05,1.28,0,4.30,1.78,0,3.80,1.51,0,5.05,1.54,0,5.25,1.77,0,4.25,1.07,0,6,2,73249,5,11667,0,0.061399412,1.82429E-05
diepzinnig,deep,Berrian et al. (1979),11.75,1.94,0,3.45,1.54,0,4.75,1.52,0,4.45,1.10,0,4.40,1.60,0,3.45,1.73,0,5.20,0.95,0,10,3,61860,0,136,82,0.177168237,4.24703E-05
dierbaar,dear,van Loon - Vervoorn (1985),9.10,2.40,0,4.80,1.36,0,4.75,1.29,0,4.40,1.23,0,3.70,1.75,0,4.65,2.16,0,6.05,0.69,0,8,2,95572,0,378,644,0.276330734,5.12208E-05
dik,thick,van Loon - Vervoorn (1985),4.60,2.56,0,3.00,0.92,0,5.60,1.43,0,3.30,1.38,0,5.75,1.48,0,6.50,0.69,0,2.35,0.88,0,3,1,7928,22,6689,3898,15.89754305,0.001944426
direct,direct,Berrian et al. (1979),6.25,1.71,0,5.10,0.91,0,4.85,1.57,0,5.05,1.05,0,5.80,1.20,0,3.35,1.81,0,4.70,0.57,0,6,2,25925,0,7155,3381,3.765577964,0.000406861
doeltreffend,effective,Berrian et al. (1979),10.95,2.14,0,5.30,1.03,0,4.37,1.46,0.05,5.40,0.82,0,3.75,1.52,0,5.00,2.10,0,5.30,0.92,0,12,3,103409,0,495,55,NaN,NaN
dof,pale,Berrian et al. (1979),9.25,2.02,0,2.21,1.08,0.05,3.95,1.67,0,2.60,1.10,0,2.30,1.26,0,3.45,1.88,0,2.90,0.72,0,3,1,4474,18,768,49,0.633876875,0.000174619
dol,mad,van Loon - Vervoorn (1985),7.00,1.81,0,6.00,1.08,0,3.25,1.25,0,4.47,0.96,0.05,3.70,1.95,0,4.05,2.16,0,5.10,1.37,0,3,1,7983,26,1059,2594,0.187017491,0.000114206
dom,ignorant,van Loon - Vervoorn (1985),5.85,1.84,0,2.95,1.32,0,3.95,1.82,0,2.60,1.23,0,5.55,1.43,0,5.15,2.16,0,2.35,0.81,0,3,1,7030,19,2096,5240,12.61508899,0.001863996
dominant,dominant,Berrian et al. (1979),10.75,2.29,0,5.50,1.64,0,4.75,1.68,0,6.15,1.39,0,4.30,1.49,0,5.85,1.27,0,3.20,1.20,0,8,3,56622,0,289,113,1.065323037,0.000199328
donker,dismally,van Loon - Vervoorn (1985),4.30,1.81,0,2.70,1.26,0,5.25,1.59,0,4.75,1.62,0,5.15,0.99,0,6.30,1.13,0,2.80,0.89,0,6,2,65866,7,7403,3814,18.53487659,0.001867357
dood,death,van Loon - Vervoorn (1985),5.15,1.53,0,1.95,1.85,0,6.20,1.51,0,4.35,2.32,0,5.10,1.33,0,5.75,1.65,0,1.30,0.47,0,4,1,15241,12,6431,40286,26.44973426,0.003120053
doof,deaf,van Loon - Vervoorn (1985),6.35,2.43,0,3.00,1.21,0,6.40,0.82,0,3.05,1.39,0,4.60,1.67,0,5.75,1.52,0,2.25,1.02,0,4,1,14912,12,377,817,1.674917075,0.000230133
doordringend,shrill,Berrian et al. (1979),10.50,2.82,0,4.95,1.28,0,4.20,1.70,0,5.25,1.21,0,2.95,1.47,0,3.65,1.90,0,4.40,0.99,0,12,3,135726,0,233,31,NaN,NaN
doorzichtig,white,Berrian et al. (1979),8.00,2.34,0,3.15,1.09,0,5.40,1.70,0,3.20,0.95,0,3.70,1.49,0,5.50,1.64,0,4.15,1.04,0,11,3,68215,1,655,108,1.623345848,0.000301438
dor,withered,van Loon - Vervoorn (1985),8.90,2.34,0,2.29,1.21,0.15,3.85,1.46,0,2.89,1.45,0.05,1.75,0.79,0,4.68,2.19,0.05,2.60,0.68,0,3,1,12034,20,443,39,0.404431832,8.99261E-05
dorstig,dry,Berrian et al. (1979),6.60,3.07,0,4.70,0.86,0,5.20,1.28,0,3.90,1.25,0,3.55,1.85,0,5.45,1.64,0,3.05,1.05,0,7,2,54262,2,98,120,0.031807757,3.15005E-06
dramatisch,dramatic,Berrian et al. (1979),9.75,3.13,0,5.80,0.70,0,4.80,1.74,0,5.30,1.13,0,5.05,1.19,0,4.30,1.45,0,2.75,1.16,0,10,3,75903,0,709,379,0.246474204,4.28543E-05
dreigend,brooding,Berrian et al. (1979),9.45,2.01,0,5.25,1.65,0,4.65,1.39,0,5.40,1.50,0,3.65,1.53,0,4.80,1.79,0,2.00,1.03,0,8,2,91214,0,695,12,0.15787397,3.42015E-05
driehoekig,triangular,De Deyne et al. (2014),5.95,1.93,0,4.10,1.74,0,6.50,0.76,0,4.10,1.17,0,3.75,1.33,0,6.55,0.83,0,3.50,0.83,0,10,3,63125,0,128,8,0.071900848,1.55029E-05
driftig,irascible,van Loon - Vervoorn (1985),9.70,2.18,0,5.95,0.69,0,3.65,1.18,0,5.21,1.18,0.05,2.85,1.27,0,4.25,1.80,0,2.60,1.27,0,7,2,35767,0,566,53,0.159177258,6.27471E-05
droevig,sad,De Deyne et al. (2014),4.53,1.87,0,2.60,0.94,0,4.85,1.42,0,3.30,1.63,0,5.20,1.64,0,5.05,2.01,0,2.00,1.34,0,7,2,32947,1,719,453,2.806909634,0.000157942
dromerig,dreamy,De Deyne et al. (2014),7.55,2.42,0,3.00,1.75,0,3.95,1.32,0,3.20,1.11,0,4.95,1.39,0,4.75,1.77,0,5.05,1.67,0,8,3,83670,1,403,31,0.527045929,0.000104986
dronken,drunk,van Loon - Vervoorn (1985),9.40,2.11,0,5.10,1.25,0,5.90,1.07,0,3.45,1.54,0,5.35,1.57,0,6.00,1.26,0,3.20,1.44,0,7,2,68872,3,1589,3022,4.16991661,0.000512895
droog,dry,van Loon - Vervoorn (1985),4.85,2.01,0,2.50,1.24,0,4.95,1.85,0,2.80,1.32,0,5.60,1.27,0,5.65,1.87,0,3.75,1.29,0,5,1,25413,2,2716,1245,3.880477309,0.000679968
druk,busy,van Loon - Vervoorn (1985),7.20,1.79,0,6.05,1.00,0,4.65,1.31,0,5.45,1.19,0,4.80,0.95,0,5.25,1.74,0,3.30,1.08,0,4,1,7577,6,2437,7443,9.069500477,0.001328647
duidelijk,clear,Berrian et al. (1979),6.85,2.66,0,4.50,1.15,0,5.40,1.82,0,4.50,1.28,0,6.00,1.21,0,3.45,1.57,0,5.20,0.89,0,9,3,73207,1,18883,8014,5.806978379,0.000595571
duister,dark,van Loon - Vervoorn (1985),8.20,2.38,0,3.20,1.28,0,4.60,1.47,0,4.95,1.70,0,3.85,1.60,0,5.55,1.64,0,3.00,1.38,0,7,2,95623,1,1343,649,1.966686067,0.000244513
dun,thin,van Loon - Vervoorn (1985),5.25,2.31,0,4.05,1.00,0,4.65,1.46,0,3.00,0.86,0,4.80,1.28,0,5.55,1.88,0,4.05,1.00,0,3,1,3513,12,1801,671,3.758225717,0.000731325
duur,expensive,van Loon - Vervoorn (1985),5.95,2.28,0,3.75,1.21,0,5.30,1.49,0,4.05,1.32,0,5.80,1.06,0,4.95,1.82,0,3.05,1.05,0,4,1,7726,10,2493,2366,15.8108558,0.002274322
duurzaam,fast,Berrian et al. (1979),11.25,2.31,0,4.20,1.79,0,3.95,1.54,0,4.60,1.57,0,3.55,1.50,0,5.00,1.84,0,4.95,1.23,0,8,2,29621,0,470,37,0.798577373,0.000143799
dwaas,foolish,van Loon - Vervoorn (1985),7.20,1.94,0,3.80,1.70,0,3.26,1.63,0.05,3.25,1.41,0,4.65,1.66,0,4.70,2.00,0,2.90,1.02,0,5,1,24094,2,817,675,1.806713822,0.00019516
dwars,diagonal,van Loon - Vervoorn (1985),7.55,2.61,0,3.80,1.44,0,3.60,1.60,0,3.55,1.39,0,3.80,1.44,0,4.30,2.30,0,3.05,0.89,0,5,1,20405,1,1899,1191,0.804118816,0.000265343
echt,real,van Loon - Vervoorn (1985),5.35,3.70,0,4.55,1.05,0,3.75,2.07,0,4.75,1.29,0,6.15,1.14,0,4.60,2.11,0,5.30,0.98,0,4,1,23679,2,16432,79620,5.834987062,0.000817373
economisch,economical,van Loon - Vervoorn (1985),10.80,2.04,0,4.40,1.23,0,5.30,1.30,0,4.55,1.05,0,4.80,1.67,0,4.50,1.88,0,3.85,0.99,0,10,4,60938,0,5792,248,0.190561139,0.000127125
edel,noble,van Loon - Vervoorn (1985),9.20,3.02,0,3.70,1.53,0,3.75,1.92,0,5.16,1.57,0.05,2.65,1.31,0,4.05,2.32,0.05,4.45,1.15,0,4,2,38916,4,534,312,0.640317635,0.000205892
eens,agreed,van Loon - Vervoorn (1985),5.13,2.26,0,3.79,0.92,0.05,2.85,2.16,0,3.60,1.23,0,6.00,1.59,0,3.35,2.37,0,4.50,0.95,0,4,1,50665,7,3498,1503,0.731321884,0.000119546
eentonig,monotonous,De Deyne et al. (2014),9.00,2.36,0,1.95,1.00,0,3.75,1.74,0,2.60,1.31,0,3.80,1.51,0,4.25,1.86,0,2.50,1.00,0,8,3,81630,0,315,27,NaN,NaN
eenvoudig,simple,Berrian et al. (1979),6.70,1.84,0,2.90,1.21,0,4.05,1.64,0,2.50,0.95,0,4.65,1.31,0,3.10,2.20,0,5.20,0.89,0,9,3,66771,0,6760,2068,2.529603731,0.000374364
eerbiedwaardig,venerable,Berrian et al. (1979),13.10,1.65,0,3.75,1.68,0,3.21,1.72,0.05,4.79,1.18,0.05,2.35,1.50,0,3.80,1.85,0,4.95,1.05,0,14,4,125060,0,136,66,0.033471963,7.47811E-06
eerder,more,Berrian et al. (1979),7.05,1.67,0,3.30,1.45,0,2.45,1.57,0,3.85,1.18,0,4.95,1.73,0,3.45,2.33,0,4.25,1.02,0,6,2,109583,3,0,6085,0.975893536,9.16508E-05
eerlijk,honest,van Loon - Vervoorn (1985),5.80,2.61,0,4.55,1.61,0,4.55,1.76,0,4.90,1.77,0,5.65,0.81,0,5.00,2.18,0,5.90,0.79,0,7,2,77337,0,2914,8300,7.167930818,0.000783679
eeuwig,eternal,van Loon - Vervoorn (1985),7.15,1.76,0,3.50,1.76,0,4.45,1.96,0,5.30,1.30,0,5.10,1.62,0,2.60,1.43,0,4.70,1.30,0,6,2,25996,0,2346,2707,1.803545567,0.000277611
effectief,powerful,Berrian et al. (1979),11.05,2.26,0,5.25,0.91,0,5.25,1.33,0,5.30,0.86,0,3.95,1.19,0,2.75,1.41,0,5.35,0.99,0,9,3,42379,1,1111,313,0.254076589,4.14062E-05
effen,even,van Loon - Vervoorn (1985),8.85,2.78,0,3.32,1.34,0.05,4.40,1.82,0,3.70,1.45,0,2.55,1.28,0,4.20,1.82,0,4.40,0.94,0,5,2,39741,0,235,21,0.536759943,8.93338E-05
efficiënt,efficient,De Deyne et al. (2014),11.85,2.32,0,4.65,1.35,0,4.60,1.35,0,5.20,0.95,0,4.60,1.31,0,3.05,1.85,0,4.95,1.00,0,9,4,17880,1,626,252,0.416462312,7.27635E-05
egaal,even,De Deyne et al. (2014),10.30,2.30,0,3.30,1.26,0,5.10,1.55,0,3.65,1.27,0,2.70,1.34,0,5.40,1.93,0,4.53,1.35,0.05,5,2,29611,0,87,14,0.666814179,9.46349E-05
egoïstisch,egoistic,De Deyne et al. (2014),9.40,2.26,0,4.20,1.47,0,4.30,1.66,0,5.10,1.52,0,5.55,1.15,0,4.00,1.38,0,1.85,1.42,0,10,4,69359,1,166,571,0.927450719,0.000129074
eigenaardig,strange,Berrian et al. (1979),8.20,2.44,0,4.60,1.05,0,4.20,1.40,0,4.30,1.03,0,4.60,1.50,0,3.35,1.60,0,4.10,1.02,0,11,4,110283,0,987,247,0.63514435,7.53311E-05
eigentijds,contemporary,Berrian et al. (1979),11.45,2.56,0,4.20,1.44,0,4.85,1.53,0,4.55,1.36,0,2.65,1.39,0,3.90,2.17,0,5.15,0.93,0,10,3,99236,0,264,14,0.242532025,3.07455E-05
eindeloos,endless,van Loon - Vervoorn (1985),9.75,2.79,0,3.45,1.70,0,3.55,1.96,0,4.10,1.25,0,4.30,1.56,0,5.10,2.05,0,4.20,1.64,0,9,3,91581,0,1894,391,0.937033214,0.000185183
elegant,elegant,van Loon - Vervoorn (1985),10.15,2.18,0,4.45,1.43,0,4.65,1.18,0,4.70,0.98,0,4.00,1.45,0,5.90,1.45,0,5.45,1.05,0,7,3,60185,0,927,363,2.418049887,0.00031822
elliptisch,eliptical,Berrian et al. (1979),13.26,2.05,0.05,4.13,1.63,0.2,5.00,1.67,0.05,4.55,1.29,0.45,1.75,1.00,0.2,4.44,2.66,0.1,3.63,0.81,0.2,10,3,80661,0,39,6,0.007843679,3.01337E-06
emotioneel,emotional,Berrian et al. (1979),9.55,2.37,0,5.10,1.33,0,4.50,1.61,0,4.05,1.39,0,5.55,1.10,0,5.75,1.55,0,4.60,1.10,0,10,4,72486,0,1892,939,1.634604205,0.000162159
eng,creepy,van Loon - Vervoorn (1985),6.10,2.47,0,4.45,1.54,0,4.20,1.28,0,5.05,1.23,0,4.90,1.48,0,5.15,2.01,0,2.35,0.88,0,3,1,48663,5,856,2038,5.958458617,0.000833936
Engels,english,Berrian et al. (1979),7.05,1.82,0,4.10,1.12,0,5.90,1.55,0,4.30,1.56,0,5.70,0.92,0,5.80,1.79,0,4.65,1.39,0,6,2,84661,0,3693,956,NaN,NaN
enig,only,van Loon - Vervoorn (1985),7.95,3.59,0,3.65,1.23,0,4.25,1.86,0,3.55,1.39,0,4.30,1.81,0,2.50,1.54,0,4.90,1.02,0,4,2,45961,0,8699,942,1.017822531,0.000111788
enkel,single,van Loon - Vervoorn (1985),6.15,2.39,0,3.30,1.08,0,4.50,1.82,0,3.55,1.36,0,4.55,1.39,0,4.15,2.41,0,3.45,1.00,0,5,2,65565,3,21621,26,2.20911587,0.00036784
enkele,few,De Deyne et al. (2014),6.10,1.52,0,2.85,0.81,0,2.85,1.53,0,2.65,0.81,0,4.90,1.74,0,3.10,1.45,0,3.10,1.02,0,6,3,76071,0,21621,0,0.514213273,5.65186E-05
enorm,vast,Berrian et al. (1979),7.20,2.42,0,5.55,1.15,0,3.70,1.66,0,5.95,0.69,0,5.20,1.74,0,5.45,1.70,0,4.40,1.27,0,5,2,48937,0,4557,3902,3.166612564,0.000375852
enthousiast,enthusiastic,De Deyne et al. (2014),7.95,2.04,0,6.10,0.85,0,4.85,1.39,0,6.00,0.56,0,5.60,1.05,0,4.70,1.56,0,5.90,1.55,0,11,3,82857,0,972,547,1.62228391,0.000188756
erg,awful,van Loon - Vervoorn (1985),5.25,2.22,0,4.70,1.45,0,3.70,1.84,0,4.90,1.12,0,5.90,0.91,0,4.00,1.95,0,2.25,0.91,0,3,1,42744,4,17806,37281,8.366023518,0.000982623
ernstig,serious,van Loon - Vervoorn (1985),6.75,2.12,0,4.55,1.39,0,4.30,1.53,0,4.85,1.35,0,5.50,1.32,0,5.30,1.72,0,3.95,1.05,0,7,2,84862,0,5696,2285,2.220079846,0.000414505
essentieel,essential,Berrian et al. (1979),11.05,2.11,0,5.05,1.15,0,4.20,1.15,0,5.65,0.99,0,3.45,1.39,0,3.05,1.85,0,5.50,0.95,0,10,3,118837,0,1293,263,0.473258363,0.000135634
euforisch,euphoric,De Deyne et al. (2014),12.70,2.39,0,5.55,1.61,0,4.45,1.43,0,6.25,0.64,0,4.05,1.73,0,4.15,1.42,0,5.75,1.65,0,9,3,59987,1,0,34,0.064840332,7.45533E-06
excellent,excellent,Berrian et al. (1979),11.40,2.19,0,5.45,1.19,0,3.55,1.76,0,5.50,1.05,0,3.20,1.85,0,4.30,2.32,0,5.90,0.79,0,9,3,78437,0,53,18,0.277047615,2.47318E-05
exclusief,exclusive,van Loon - Vervoorn (1985),10.30,2.58,0,4.80,1.01,0,5.05,1.85,0,5.55,1.10,0,4.20,1.58,0,4.25,2.05,0,5.20,0.89,0,9,3,28603,0,467,302,0.370068514,0.00014061
exotisch,exotic,De Deyne et al. (2014),9.95,2.06,0,5.35,1.66,0,4.25,1.52,0,5.25,1.16,0,3.70,1.38,0,6.35,0.88,0,5.30,1.56,0,8,3,48721,1,418,238,1.993867659,0.000195365
extra,extra,van Loon - Vervoorn (1985),7.35,2.37,0,5.35,1.14,0,3.55,1.99,0,5.50,0.95,0,5.80,1.15,0,3.75,1.94,0,5.00,1.38,0,5,2,16592,0,3057,2758,2.294028526,0.000331162
extravert,extrovert,De Deyne et al. (2014),13.15,2.37,0,6.00,0.97,0,3.95,1.10,0,6.00,0.79,0,3.65,1.90,0,4.11,1.63,0.05,4.10,1.45,0,9,3,73869,1,41,10,0.439910314,7.12145E-05
extreem,extreme,Berrian et al. (1979),10.55,1.85,0,5.65,1.46,0,4.45,1.76,0,6.20,0.83,0,5.40,1.05,0,5.30,2.03,0,4.20,1.11,0,7,2,35334,0,737,639,1.639107411,0.000276026
fair,fair,Berrian et al. (1979),10.20,2.07,0,4.05,1.28,0,4.40,1.90,0,4.45,1.32,0,4.10,1.71,0,4.90,2.22,0,5.35,0.88,0,4,1,3288,2,131,86,0.293183517,4.20017E-05
fantastisch,fantastic,De Deyne et al. (2014),6.95,2.42,0,5.60,1.19,0,3.85,1.50,0,6.15,0.67,0,4.95,1.32,0,4.00,2.03,0,5.95,1.54,0,11,3,97672,0,907,6444,2.598480981,0.000245271
fatsoenlijk,proper,Berrian et al. (1979),8.65,2.13,0,3.85,1.46,0,4.30,1.56,0,4.50,1.05,0,5.40,1.14,0,5.05,1.47,0,5.50,0.89,0,11,3,84458,0,461,742,0.229044665,1.50473E-05
