word_chinese-gsdsimp,word_zhuyin,frequency,familiar_mean,ambiguity_mean,naming_accuracy,naming_rt
姻,ㄧㄣ,417,4.55,1.6154,0.8,784
姿,ㄗ,568,5,1.6923,0.9,709
娃,ㄨㄚ,256,5.2,1.4615,0.75,677
孩,ㄏㄞˊ,2686,5.875,1.1538,0.75,664
室,ㄕˋ,4947,6.1,2.3846,0.85,699
封,ㄈㄥ,1687,5.35,2.4615,1,662
屎,ㄕˇ,57,5.175,1.6923,1,790
峒,ㄊㄨㄥˊ,1,2.175,1,0.8,804
峙,ㄓˋ,160,3.075,1.3077,0.25,976
建,ㄐㄧㄢˋ,26080,5.475,2.4615,0.9,657
弭,ㄇㄧˇ,130,2.925,1.1538,0.55,887
徇,ㄒㄩㄣˊ,12,2.75,1.3077,0.95,830
很,ㄏㄣˇ,7856,6.675,1.5385,0.9,658
徉,ㄧㄤˊ,12,3.8,1.1538,0.65,896
徊,ㄏㄨㄞˊ,128,4.425,1.1538,0.2,733
律,ㄌㄩˋ,3793,5.525,2.6154,0.9,679
怒,ㄋㄨˋ,693,5.4,1.1538,0.9,650
怠,ㄉㄞˋ,76,4.775,1.5385,0.9,738
怨,ㄩㄢˋ,1172,5.3,1.9231,0.9,625
恂,ㄒㄩㄣˊ,1,2.75,1.0769,0.9,960
恃,ㄕˋ,109,3.925,1.4615,0.65,814
恍,ㄏㄨㄤˇ,91,4.45,1.6154,1,726
恢,ㄏㄨㄟ,994,5.05,2,0.9,628
恨,ㄏㄣˋ,353,5.5,1.2308,0.9,666
恪,ㄎㄜˋ,15,2.625,1.3846,0.05,1041
恬,ㄊㄧㄢˊ,60,3.55,1.4615,0.9,731
恰,ㄑㄧㄚˋ,365,5.025,2,1,706
拭,ㄕˋ,86,4.35,1.2308,0.9,753
拮,ㄐㄧㄝˊ,232,3.5,1.3077,0.7,977
拯,ㄓㄥˇ,64,4.15,1.2308,0.85,819
拱,ㄍㄨㄥˇ,89,4.475,1.6154,0.9,702
拴,ㄕㄨㄢ,6,3.65,1.5385,0.6,918
拷,ㄎㄠˇ,103,4.4,1.7692,0.9,755
拼,ㄆㄧㄣ,257,5.175,1.6923,0.9,667
拽,ㄓㄨㄞˋ,1,2.75,1.2308,0.3,847
拾,ㄕˊ,458,5.225,1.9231,1,801
持,ㄔˊ,15499,5.775,2.9231,0.85,721
指,ㄓˇ,25435,5.4,3.0769,0.9,688
按,ㄢˋ,2040,5.875,2,0.8,749
政,ㄓㄥˋ,43968,6.05,1.7692,0.9,709
故,ㄍㄨˋ,3980,5.775,3.4615,0.9,690
施,ㄕ,12163,5.1,2.0769,0.9,747
星,ㄒㄧㄥ,4335,6.025,1.8462,0.8,745
映,ㄧㄥˋ,2120,5.35,2.4615,0.75,800
昧,ㄇㄟˋ,129,4.35,1.5385,0.7,845
昨,ㄗㄨㄛˊ,23859,6.1,1.2308,0.9,701
昭,ㄓㄠ,1038,4.55,1.3846,0.95,746
昱,ㄩˋ,98,3.775,1.1538,0.65,799
昶,ㄔㄤˇ,30,2.575,1.0769,0.25,831
枯,ㄎㄨ,261,4.675,1.4615,0.8,717
架,ㄐㄧㄚˋ,2028,5.35,3.3077,0.95,659
枷,ㄐㄧㄚ,15,3.425,1.3077,0.8,808
枸,ㄍㄡ,7,3.9,1.1538,0.4,896
柄,ㄅㄧㄥˋ,107,4.175,1.6154,0.95,762
柏,ㄅㄛˊ,2317,4.25,1.6154,0.85,727
柑,ㄍㄢ,99,3.975,1.0769,0.75,810
柙,ㄒㄧㄚˊ,5,2.1,1.0769,0.1,1105
柚,ㄧㄡˋ,33,4.075,1.1538,1,798
柜,ㄐㄩˇ,2,2.2,1.0769,0.9,903
柢,ㄉㄧˇ,51,2.775,1.1538,0.55,901
柯,ㄎㄜ,1186,4.8,1.3077,0.95,722
柱,ㄓㄨˋ,354,5.075,1.3846,0.95,678
柵,ㄓㄚˋ,331,4.75,1.4615,0.55,813
殃,ㄧㄤ,75,3.775,1.3077,0.95,725
殄,ㄊㄧㄢˇ,10,2.925,1.0769,0.2,991
殆,ㄉㄞˋ,116,4.075,1.1538,0.65,764
毒,ㄉㄨˊ,3751,5.275,1.9231,0.9,654
毗,ㄆㄧˊ,117,2.525,1.1538,0.7,811
氟,ㄈㄨˊ,46,3.675,1,0.45,809
洄,ㄏㄨㄟˊ,4,2.525,1.0769,0.8,892
洋,ㄧㄤˊ,2646,4.65,2.6923,0.85,638
洌,ㄌㄧㄝˋ,15,2.625,1,0.85,810
洙,ㄓㄨ,10,2.375,1.1538,0.75,854
洛,ㄌㄨㄛˋ,1230,4.275,1.6923,0.95,650
洞,ㄉㄨㄥˋ,909,4.95,2.5385,0.95,696
津,ㄐㄧㄣ,684,4.375,1.6923,0.85,709
洩,ㄒㄧㄝˋ,558,4.625,1.9231,0.95,807
洪,ㄏㄨㄥˊ,2666,5.15,1.9231,0.8,676
洲,ㄓㄡ,4816,5.1,1.6154,0.95,650
洶,ㄒㄩㄥ,157,4.425,1.3846,0.8,882
活,ㄏㄨㄛˊ,11810,6.075,3.6154,1,629
洽,ㄑㄧㄚˋ,1271,4.775,2,0.85,730
流,ㄌㄧㄡˊ,8685,5.7,3.2308,0.95,568
炫,ㄒㄩㄢˋ,79,5.05,2.2308,0.8,766
炬,ㄐㄩˋ,64,3.725,1.1538,0.9,766
炯,ㄐㄩㄥˇ,17,2.95,1.3077,0.9,887
炳,ㄅㄧㄥˇ,589,3.7,1.2308,0.95,721
炷,ㄓㄨˋ,6,3.15,1.3846,0.9,787
牯,ㄍㄨˇ,10,2.625,1.0769,0.6,768
牲,ㄕㄥ,383,4.35,1.6923,0.8,875
牴,ㄉㄧˇ,110,2.975,1.3846,0.85,827
狠,ㄏㄣˇ,199,5.4,1.3077,0.85,615
狡,ㄐㄧㄠˇ,79,4.125,1.4615,0.95,763
玲,ㄌㄧㄥˊ,778,5.15,1.2308,0.95,747
玷,ㄉㄧㄢˋ,30,3.475,1.1538,0.4,953
玻,ㄅㄛ,614,4.9,1.1538,0.65,876
珀,ㄆㄛˋ,34,3.5,1.0769,0.35,896
珂,ㄎㄜ,1,3.025,1.2308,0.9,787
珈,ㄐㄧㄚ,4,3.6,1.2308,0.8,791
珊,ㄕㄢ,1034,4.925,1.7692,0.9,794
珍,ㄓㄣ,1031,5.125,2.3077,1,736
界,ㄐㄧㄝˋ,10447,5.625,2.1538,0.95,712
疤,ㄅㄚ,42,4.35,1.3846,0.9,650
疥,ㄐㄧㄝˋ,5,2.25,1.0769,0.95,871
疫,ㄧˋ,344,4.625,1.6154,0.85,775
皈,ㄍㄨㄟ,12,3.05,1.3077,0.45,994
盅,ㄓㄨㄥ,4,2.75,1,0.7,815
盆,ㄆㄣˊ,276,4.7,2.3846,1,696
盹,ㄉㄨㄣˇ,10,3.475,1.0769,0.65,855
盼,ㄆㄢˋ,941,5.425,2.0769,0.9,697
眇,ㄇㄧㄠˇ,3,2.3,1,0.9,927
眈,ㄉㄢ,36,3.45,1.3077,0.7,707
矜,ㄍㄨㄢ,7,4.125,1.3846,0.75,790
砂,ㄕㄚ,1341,4.925,2,0.85,696
砒,ㄆㄧ,2,2.85,1.0769,0.65,911
研,ㄧㄢˊ,9717,5.425,2.0769,0.95,703
祉,ㄓˇ,188,2.95,1.6923,0.85,883
秒,ㄇㄧㄠˇ,419,6.1,1.6154,0.65,642
穿,ㄔㄨㄢ,1560,5.65,2.4615,0.9,675
竽,ㄩˊ,1,3.175,1.3846,0.75,781
竿,ㄍㄢ,184,4.35,1.3846,0.95,707
籽,ㄗˇ,8,3.4,1.0769,0.75,841
紀,ㄐㄧˋ,3840,5.575,2.3846,0.85,757
約,ㄩㄝ,10855,5.925,2,0.8,693
紉,ㄖㄣˋ,18,3.35,1.1538,0.95,893
缸,ㄍㄤ,129,4.1,1.1538,0.95,754
胎,ㄊㄞ,510,4.925,1.6923,0.95,649
胖,ㄆㄢˋ,188,5.775,1.4615,1,622
胚,ㄆㄟ,22,4.325,2.0769,0.9,671
胛,ㄐㄧㄚˇ,6,2.7,1.1538,0.75,871
胝,ㄓ,22,3.1,1.2308,0.2,903
胞,ㄅㄠ,1284,5.275,2.6923,0.95,724
致,ㄓˋ,8627,5.6,2.6154,0.95,708
舢,ㄕㄢ,34,2.75,1,1,827
苑,ㄩㄢˋ,429,4.25,1.4615,0.5,747
苒,ㄖㄢˇ,2,2.8,1.0769,0.7,914
苓,ㄌㄧㄥˊ,258,3.6,1.3077,0.8,779
苔,ㄊㄞ,64,3.875,1.3077,0.95,715
苛,ㄎㄜ,161,4.5,1.5385,0.85,676
苞,ㄅㄠ,34,3.675,1.5385,0.7,699
苟,ㄍㄡˇ,39,4.25,1.6923,0.9,859
苡,ㄧˇ,3,2.725,1.0769,0.9,924
苣,ㄐㄩˋ,9,3.325,1,0.8,819
苦,ㄎㄨˇ,2663,5.9,3,0.9,663
苧,ㄓㄨˋ,2,2.075,1.0769,0.1,893
苯,ㄅㄣˇ,125,4.275,1.0769,0.95,821
英,ㄧㄥ,4551,5.7,3.1538,0.85,623
苴,ㄐㄩ,4,2.325,1.0769,0.15,851
苹,ㄆㄧㄥˊ,5,1.9,1,0.95,783
茁,ㄓㄨㄛˊ,39,4.45,1.2308,1,799
茉,ㄇㄛˋ,33,4.675,1.2308,0.95,633
虹,ㄏㄨㄥˊ,216,4.125,1.3846,0.85,789
訂,ㄉㄧㄥˋ,4718,5.35,1.8462,0.95,696
訃,ㄈㄨˋ,7,3.15,1.3077,0.4,952
赳,ㄐㄧㄡˇ,2,3.55,1.0769,0.75,828
赴,ㄈㄨˋ,2434,5.125,1.5385,0.85,750
趴,ㄆㄚ,44,4.625,1.4615,0.95,664
軌,ㄍㄨㄟˇ,402,4.45,1.7692,0.9,730
迢,ㄊㄧㄠˊ,44,4,1.2308,0.4,857
迤,ㄧˊ,6,2.8,1.3846,0.35,965
迥,ㄐㄩㄥˇ,62,3.25,1.2308,0.55,875
迦,ㄐㄧㄚ,37,2.975,1.1538,0.7,742
迨,ㄉㄞˋ,9,2.725,1.1538,0.35,1078
迪,ㄉㄧˊ,535,4.575,1.3077,0.95,605
迫,ㄆㄛˋ,1875,5.15,1.7692,1,679
迭,ㄉㄧㄝˊ,196,3.775,1.3077,0.6,981
述,ㄕㄨˋ,2881,5.325,1.6923,0.75,795
郅,ㄓˋ,2,2.3,1.1538,0.8,931
郊,ㄐㄧㄠ,319,5.025,2.0769,0.85,674
陌,ㄇㄛˋ,167,4.8,1.6154,0.9,656
限,ㄒㄧㄢˋ,6669,5.525,2.4615,0.95,690
俯,ㄈㄨˇ,80,4.35,1.5385,0.8,766
俳,ㄆㄞˊ,1,2.8,1.4615,0.1,1235
俵,ㄅㄧㄠˇ,1,1.55,1.1538,0.95,731
俸,ㄈㄥˋ,105,4,1.6154,0.8,789
俺,ㄢˇ,3,4.025,1.1538,0.45,942
倀,ㄔㄤ,3,2.45,1.0769,0.85,923
倌,ㄍㄨㄢ,7,2.925,1.3846,0.85,870
倍,ㄅㄟˋ,1370,5.75,2,0.85,718
倔,ㄐㄩㄝˊ,10,4.025,1.3846,0.8,888
倖,ㄒㄧㄥˋ,187,4.575,1.5385,0.85,812
倘,ㄊㄤˇ,203,4.35,1.2308,0.65,805
倚,ㄧ,107,4.625,1.8462,0.85,847
借,ㄐㄧㄝˋ,1903,5.9,1.7692,0.95,687
倥,ㄎㄨㄥ,1,2.025,1.0769,0.95,893
倦,ㄐㄩㄢˋ,92,5.075,1.7692,0.9,773
倨,ㄐㄩˋ,5,3.225,1.4615,0.85,855
倩,ㄑㄧㄢˋ,56,4.55,1.3077,0.9,763
倪,ㄋㄧˊ,184,4.075,1.1538,0.85,744
倫,ㄌㄨㄣˊ,723,5,2.1538,0.95,663
倭,ㄨㄛ,6,3.05,1.1538,0.2,991
值,ㄓˊ,6660,5.5,2.5385,0.75,733
冤,ㄩㄢ,327,4.7,1.6154,0.95,747
凋,ㄉㄧㄠ,49,4.075,1.3846,0.9,855
凍,ㄉㄨㄥˋ,654,5.125,2.1538,0.95,665
剔,ㄊㄧ,85,4.65,2.2308,0.9,759
剛,ㄍㄤ,1368,5.9,2.9231,0.9,601
剝,ㄅㄛ,302,4.2,1.7692,0.95,786
剡,ㄧㄢˇ,1,1.55,1.0769,0.35,662
匪,ㄈㄟˇ,435,4.65,1.8462,0.9,770
厝,ㄘㄨㄛˋ,339,3.625,1.1538,0.15,1028
哦,ㄛˊ,69,5.825,1.5385,0.1,1203
哨,ㄕㄠˋ,152,4.15,1.9231,0.65,831
哪,ㄋㄚˇ,224,5.8,1.4615,0.85,862
哮,ㄒㄧㄠ,46,4.125,1.2308,0.85,792
哲,ㄓㄜˊ,759,5.5,2.0769,0.9,698
哺,ㄅㄨˇ,55,4.2,1.3846,0.5,829
哽,ㄍㄥˇ,23,4.275,1.1538,1,799
唆,ㄙㄨㄛ,112,4.05,1.5385,0.85,730
唇,ㄔㄨㄣˊ,197,5.15,1.5385,0.95,677
唉,ㄞ,41,6.125,1.3077,0.9,830
唏,ㄒㄧ,44,3.65,1.0769,0.8,736
唔,ㄨˊ,34,4.35,1.3846,0.85,809
圃,ㄆㄨˇ,75,3.6,1.2308,0.7,845
圄,ㄩˇ,22,2.475,1.1538,0.1,1357
埂,ㄍㄥˇ,5,3.05,1.1538,0.95,768
埃,ㄞ,325,4.55,1.5385,0.9,821
埋,ㄇㄞˊ,1413,4.95,2.3077,0.95,702
埕,ㄔㄥˊ,114,2.725,1.2308,0.95,788
奘,ㄓㄨㄤˇ,3,3.075,1.1538,0.35,831
娌,ㄌㄧˇ,7,2.6,1.0769,0.75,794
娑,ㄙㄨㄛ,11,3.025,1.2308,0.75,791
娘,ㄋㄧㄤˊ,662,4.825,2.0769,0.95,619
娛,ㄩˊ,530,5.575,1.8462,0.8,740
娟,ㄐㄩㄢ,412,4.825,1.6923,0.95,757
娠,ㄕㄣ,4,3.35,1.1538,0.45,937
娣,ㄉㄧˋ,8,2.675,1.0769,0.1,1103
娥,ㄜˊ,158,3.825,1.8462,0.95,762
娩,ㄇㄧㄢˇ,21,4.05,1.1538,0.4,919
宮,ㄍㄨㄥ,1850,4.95,1.8462,0.9,703
宰,ㄗㄞˇ,421,4.625,2.3077,0.95,699
宵,ㄒㄧㄠ,273,5.3,2.0769,0.9,744
宸,ㄔㄣˊ,3,2.675,1.2308,0.9,881
容,ㄖㄨㄥˊ,7277,5.825,3.0769,0.95,614
屑,ㄒㄧㄝˋ,69,5.2,2.2308,0.55,743
峨,ㄜˊ,67,3.075,1.2308,0.95,779
峪,ㄩˋ,2,2.1,1.2308,0.15,970
峭,ㄑㄧㄠˋ,42,3.15,1.1538,0.6,830
峰,ㄈㄥ,1779,5.125,1.1538,0.8,695
峻,ㄐㄩㄣˋ,135,3.675,1.5385,0.9,786
峽,ㄒㄧㄚˊ,860,4.15,1.3077,0.8,763
庭,ㄊㄧㄥˊ,3995,5.45,2,0.9,614
徐,ㄒㄩˊ,1835,5.225,1.9231,0.9,756
徑,ㄐㄧㄥˋ,1053,4.5,2.2308,0.85,736
徒,ㄊㄨˊ,3932,4.725,2.1538,0.85,805
恁,ㄖㄣˋ,2,3.125,1.3077,0.55,800
恣,ㄗˋ,45,4.1,1.4615,0.9,815
恩,ㄣ,855,5.675,2.1538,0.9,693
恭,ㄍㄨㄥ,232,5.05,2.0769,0.85,708
悃,ㄎㄨㄣˇ,1,2.2,1,1,885
悄,ㄑㄧㄠ,294,4.525,1.8462,0.85,716
悅,ㄩㄝˋ,287,5.025,1.6923,0.85,659
悌,ㄊㄧˋ,31,3.8,1.2308,0.9,747
悍,ㄏㄢˋ,123,4.175,1.7692,0.8,647
悒,ㄧˋ,1,1.825,1.2308,0.65,905
悔,ㄏㄨㄟˇ,327,5.025,1.5385,0.85,730
悖,ㄅㄟˋ,44,3,1.1538,0.35,752
悚,ㄙㄨㄥˇ,14,3.95,1.0769,0.5,934
悟,ㄨˋ,203,4.3,2.0769,0.9,702
拳,ㄑㄩㄢˊ,502,5.15,1.5385,0.9,666
拿,ㄋㄚˊ,2870,6.025,2.3077,0.8,624
挨,ㄞ,191,4.7,1.6154,0.9,726
挪,ㄋㄨㄛˊ,260,4,1.5385,1,812
振,ㄓㄣˋ,2533,5.125,2.3846,0.95,707
挹,ㄧˋ,82,2.3,1,0.8,818
挺,ㄊㄧㄥˇ,314,4.85,2.0769,0.95,696
挽,ㄨㄢˇ,343,4.375,2.0769,0.75,720
捂,ㄨˇ,4,2.925,1.2308,0.95,852
捆,ㄎㄨㄣˇ,66,4.1,1.6154,1,703
捍,ㄏㄢˋ,37,4.125,1.3846,0.65,773
捎,ㄕㄠ,8,2.9,1.4615,0.75,936
捐,ㄐㄩㄢ,1949,4.925,1.4615,1,685
捕,ㄅㄨˇ,3229,5.025,2.3846,0.85,728
效,ㄒㄧㄠˋ,6688,5.525,2.3077,1,748
料,ㄌㄧㄠˋ,8249,5.35,3.2308,0.9,663
時,ㄕˊ,60158,6.5,2.6923,0.9,702
晌,ㄕㄤˇ,5,3.175,1.5385,0.2,880
晏,ㄧㄢˋ,46,3.45,1.4615,0.9,819
朗,ㄌㄤˇ,1149,4.825,2.6923,1,646
柴,ㄓㄞˋ,453,4.35,1.5385,0.9,714
栓,ㄕㄨㄢ,109,4.2,1.9231,0.55,811
株,ㄓㄨ,263,4.275,1.3846,0.9,766
核,ㄏㄜˊ,5620,5.225,2.9231,0.9,727
根,ㄍㄣ,5844,4.925,2.0769,0.95,650
格,ㄍㄜˊ,8758,5.525,3.0769,0.95,644
栽,ㄗㄞ,514,4.65,2.3077,0.8,759
桂,ㄍㄨㄟˋ,498,4.2,1.9231,0.8,688
桃,ㄊㄠˊ,3427,5.075,2,1,725
桄,ㄍㄨㄤ,2,1.475,1.1538,0.3,998
桅,ㄨㄟˊ,12,2.8,1.0769,0.2,880
案,ㄢˋ,28034,5.525,2.4615,0.9,611
桉,ㄢˋ,3,1.725,1.0769,0.9,794
桎,ㄓˋ,11,2.725,1.2308,0.95,834
桐,ㄊㄨㄥˊ,265,3.575,1.2308,0.95,750
桓,ㄏㄨㄢˊ,39,3.225,1.3846,0.8,861
梳,ㄕㄨ,57,4.8,1.8462,0.95,786
殉,ㄒㄩㄣˋ,105,4.025,1.3846,0.95,886
殊,ㄕㄨ,1374,4.925,1.7692,1,723
氤,ㄧㄣ,6,2.875,1,0.75,899
氧,ㄧㄤˇ,352,5.3,1.5385,1,721
氨,ㄢ,36,3.75,1.0769,0.9,746
浙,ㄓㄜˋ,118,4.025,1,0.7,896
浚,ㄐㄩㄣˋ,123,2.625,1.3077,0.8,800
浡,ㄅㄛˊ,3,2.05,1.0769,0.65,889
浣,ㄏㄨㄢˇ,5,2.975,1.3846,0.9,798
浦,ㄆㄨˇ,203,3.65,1.6923,0.65,773
浩,ㄏㄠˋ,435,4.75,1.6154,0.85,745
浪,ㄌㄤˋ,1262,5.65,2.6923,0.95,573
浮,ㄈㄨˊ,773,5.3,2.6923,0.95,668
浴,ㄩˋ,538,5.6,2.3846,0.9,695
海,ㄌㄨˋ,13349,5.475,2.2308,0.9,656
浹,ㄐㄧㄚˊ,6,2.025,1.0769,0.45,875
涂,ㄊㄨˊ,245,3.125,1.0769,0.7,865
涇,ㄐㄧㄥ,8,3.075,1.3077,0.8,808
消,ㄒㄧㄠ,9401,5.65,2.9231,0.95,728
涑,ㄙㄨˋ,2,2.275,1.0769,0.75,929
涓,ㄐㄩㄢ,9,3.75,1.3077,1,791
涕,ㄊㄧˋ,24,4.3,1.3846,0.95,707
烈,ㄌㄧㄝˋ,3768,5.4,2.6154,0.9,597
烊,ㄧㄤˊ,59,4.2,1.2308,0.9,723
烘,ㄏㄨㄥ,130,4.825,1.6154,0.9,798
烤,ㄎㄠˇ,332,5.15,1.3077,0.95,606
爹,ㄉㄧㄝ,36,4.4,1.1538,0.9,725
特,ㄊㄜˋ,14238,5.7,1.9231,0.7,677
狷,ㄐㄩㄢˋ,2,2.625,1.0769,1,853
狸,ㄌㄧˊ,52,3.525,1.0769,0.95,746
狹,ㄒㄧㄚˊ,365,4.35,1.8462,0.9,839
狼,ㄌㄤˊ,177,5.05,1.9231,0.9,663
珞,ㄌㄨㄛˋ,4,2.125,1,0.75,852
珠,ㄓㄨ,1309,4.925,2.1538,0.95,702
珣,ㄒㄩㄣˊ,29,2.475,1.2308,0.75,868
珪,ㄍㄨㄟ,3,2.2,1.3077,0.55,862
珮,ㄆㄟˋ,52,4.075,1.0769,0.9,632
琉,ㄌㄧㄡˊ,113,3.6,1.2308,1,743
畔,ㄆㄢˋ,200,3.8,1.3077,0.95,766
畛,ㄓㄣˇ,1,1.875,1.3077,0.8,977
畝,ㄇㄨˇ,36,3.775,1.3846,0.7,765
疲,ㄆㄧˊ,523,5.4,1.3846,1,718
疳,ㄍㄢ,1,2.225,1.0769,0.75,949
疸,ㄉㄢˇ,3,2.55,1,0.4,1239
疹,ㄓㄣˇ,91,4.05,1.2308,0.85,727
疼,ㄊㄥˊ,210,5.675,2.0769,1,640
痂,ㄐㄧㄚ,3,2.475,1,0.7,900
病,ㄅㄧㄥˋ,4858,6.025,1.6154,0.8,645
症,ㄓㄥˋ,1085,5.075,1.0769,0.95,725
皰,ㄆㄠˋ,9,3.325,1,0.6,797
盎,ㄤˋ,78,3.8,1.9231,0.6,851
眛,ㄇㄟˋ,4,3.2,1,0.95,818
眠,ㄇㄧㄢˊ,250,5.225,1.2308,0.9,668
眨,ㄓㄚˇ,20,4.975,1.4615,0.7,777
眩,ㄒㄩㄢˋ,37,4.6,1.4615,0.95,808
矩,ㄐㄩˇ,104,5.125,1.9231,0.9,831
砣,ㄊㄨㄛˊ,2,2.175,1.1538,0.7,820
砥,ㄉㄧˇ,12,3.4,1.3846,0.9,767
砭,ㄅㄧㄢ,36,2.8,1.1538,0.7,923
砰,ㄆㄥ,19,5.05,1.5385,0.55,878
砲,ㄆㄠˋ,621,4.725,1.3077,0.95,689
破,ㄆㄛˋ,6198,5.525,2.0769,0.95,602
砷,ㄕㄣ,11,2.625,1,0.8,858
祐,ㄧㄡˋ,94,4.45,1.3077,0.85,711
祕,ㄇㄧˋ,367,5.1,1.7692,0.9,643
祖,ㄓㄨˇ,1398,5.4,1.4615,0.9,764
祚,ㄗㄨㄛˋ,2,2.25,1.3077,0.45,823
祛,ㄑㄩ,12,2.8,1,0.4,928
祜,ㄏㄨˋ,3,1.85,1,0.1,951
神,ㄕㄣˊ,5564,5.6,3.1538,1,700
祟,ㄙㄨㄟˋ,99,4.2,1.3846,0.3,862
祠,ㄘˊ,81,4.1,1.3077,0.35,767
租,ㄗㄨ,2911,5.65,1.8462,0.95,710
秣,ㄇㄛˋ,9,2.4,1.2308,0.6,830
秤,ㄆㄧㄥˊ,63,4.625,1.6923,0.75,783
秧,ㄧㄤ,37,3.525,1.0769,0.8,688
秩,ㄓˋ,885,4.775,1.4615,1,780
窄,ㄓㄞˇ,258,4.525,1.3846,0.85,701
窈,ㄧㄠˇ,6,3.825,1.2308,0.6,853
站,ㄓㄢˋ,4952,5.925,2.3846,0.95,677
笆,ㄅㄚ,12,3.425,1.2308,0.75,834
笈,ㄐㄧˊ,3,3.2,1.3077,0.75,858
笑,ㄒㄧㄠˋ,1629,6.625,1.9231,1,711
粉,ㄈㄣˇ,806,5.625,3.1538,0.85,664
粑,ㄅㄚ,9,2.85,1.0769,0.4,1008
紊,ㄨㄣˋ,84,3.35,1.3846,0.55,728
紋,ㄨㄣˊ,365,4.275,1.8462,0.85,695
納,ㄋㄚˋ,2557,5.15,2.3077,0.9,646
紐,ㄋㄧㄡˇ,1043,4.525,1.4615,0.8,634
紓,ㄕㄨ,398,3.725,1.4615,0.7,1016
純,ㄔㄨㄣˊ,1622,5.45,2.1538,0.9,701
紕,ㄆㄧ,40,2.625,1,0.9,862
紗,ㄕㄚ,246,4.225,2,0.85,758
紘,ㄏㄨㄥˊ,6,2.7,1.0769,0.65,867
紙,ㄓˇ,2206,5.925,1.6923,0.85,718
級,ㄐㄧˊ,7093,5.75,2.2308,0.85,784
紛,ㄈㄣ,4727,4.9,2.1538,0.85,697
紜,ㄩㄣˊ,46,2.65,1.3846,0.9,745
紡,ㄈㄤˇ,1251,4.3,1.5385,0.85,833
缺,ㄑㄩㄝ,3793,5.275,2.0769,1,679
翁,ㄨㄥ,833,4.7,1.8462,0.8,753
翅,ㄔˋ,52,5.025,1.5385,0.95,774
耕,ㄍㄥ,645,4.575,1.6923,0.85,694
耘,ㄩㄣˊ,76,4.225,1.1538,0.85,720
耙,ㄆㄚˊ,9,2.725,1.3077,0.7,960
耽,ㄉㄢ,81,4.225,1.8462,0.75,806
胭,ㄧㄢ,5,3.75,1.0769,0.55,907
胯,ㄎㄨㄚˋ,10,3.475,1.1538,0.85,786
胰,ㄧˊ,40,3.925,1.1538,0.8,733
胱,ㄍㄨㄤ,21,4.075,1.1538,0.65,847
胳,ㄍㄜ,9,3.575,1.2308,0.6,897
胸,ㄒㄩㄥ,465,5.4,2.1538,1,651
胼,ㄆㄧㄢˊ,23,2.9,1.3077,0.35,898
脂,ㄓ,239,5,1.7692,1,799
脆,ㄘㄨㄟˋ,355,5.325,2.3846,0.85,752
舐,ㄕˋ,5,3.65,1.1538,0.25,849
舨,ㄅㄢˇ,78,2.225,1,0.65,947
航,ㄏㄤˊ,4467,4.8,1.8462,0.9,732
舫,ㄈㄤˇ,26,3.5,1.4615,0.95,824
茗,ㄇㄧㄥˊ,74,3.55,1.4615,0.7,680
茨,ㄘˊ,33,2.5,1,0.6,987
茭,ㄐㄧㄠ,7,2.35,1.0769,0.8,835
茯,ㄈㄨˊ,1,2.35,1.0769,0.9,800
茴,ㄏㄨㄟˊ,2,2.05,1.0769,0.6,869
茵,ㄧㄣ,59,4.15,1.1538,0.9,688
茸,ㄖㄨㄥˊ,29,3.4,1.6923,0.6,865
荀,ㄒㄩㄣˊ,8,3.5,1.1538,0.6,961
荃,ㄑㄩㄢˊ,68,2.55,1.1538,1,828
虔,ㄑㄧㄢˊ,99,4.575,1.5385,0.9,816
蚊,ㄨㄣˊ,167,5.525,1.3077,0.85,659
蚋,ㄖㄨㄟˋ,19,2.625,1.1538,0.2,1168
蚜,ㄧㄚˊ,10,2.6,1.1538,0.95,784
蚨,ㄈㄨˊ,1,1.45,1,0.8,831
蚪,ㄉㄡˇ,1,3.65,1,0.7,848
衲,ㄋㄚˋ,9,2.85,1.0769,0.7,781
衷,ㄓㄨㄥ,284,4.45,1.6923,0.9,769
衽,ㄖㄣˋ,2,2.175,1.1538,0.9,913
衿,ㄐㄧㄣ,3,3.5,1.4615,0.85,824
訊,ㄒㄩㄣˋ,8963,5.75,2,0.8,733
訌,ㄏㄨㄥˊ,33,2.975,1.0769,0.6,1046
訐,ㄐㄧㄝˊ,34,4.05,1.0769,0.1,835
訓,ㄒㄩㄣˋ,3592,5.45,2,0.85,772
訕,ㄕㄢˋ,42,4.2,1.6923,0.9,814
訖,ㄑㄧˋ,21,3.5,1.3846,0.5,1004
託,ㄊㄨㄛ,2112,5.375,1.9231,1,660
記,ㄐㄧˋ,11747,6,2.6154,0.9,703
豹,ㄅㄠˋ,69,4.5,1.0769,0.95,685
財,ㄘㄞˊ,9373,5.525,2,0.95,714
貢,ㄍㄨㄥˋ,624,4.825,2.3846,0.95,721
起,ㄑㄧˇ,27125,5.9,3.4615,0.9,690
軒,ㄒㄩㄢ,195,4.25,2.2308,0.9,806
軔,ㄖㄣˋ,3,2.575,1.3846,0.75,796
迴,ㄏㄨㄟˊ,819,4.575,1.5385,0.8,701
迷,ㄇㄧˊ,1830,5.475,2.8462,0.9,701
迸,ㄅㄥˋ,77,2.775,1.1538,0.15,834
