word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
JEDNAKO,4,1.183215957,4.272727273,0.786245393,3.454545455,1.694912173,4.909090909,0.301511345,5.545454545,1.439696938
JEDNOM,3.4,1.712697677,4.9,0.316227766,2.8,1.398411798,5,0,3.3,2.162817093
JEDNOSTAVAN,2.454545455,1.12815215,4.181818182,0.981649817,2,1,4.818181818,0.603022689,7.181818182,3.429815792
JEDNOSTAVNO,2.7,1.494434118,4.6,0.966091783,3,1.333333333,5,0,6.1,1.663329993
JEDRILICA,4.636363636,1.206045378,2.636363636,1.501514387,5,0,4.5,0.971825316,7.3,2.110818693
JEDVA,2.2,0.918936583,4.2,0.788810638,2.5,1.58113883,4.6,0.699205899,6.6,3.306559138
JELEN,4.956521739,0.208514414,2.347826087,1.368765059,,,,,,
JER,2.5,1.840893503,4.3,0.823272602,2.1,1.197219,4.4,0.966091783,4.5,2.460803843
JESTI,4.5,0.978019294,4.916666667,0.282329851,,,,,,
JETRA,4.909090909,0.301511345,3.181818182,1.167748416,4.909090909,0.301511345,5,0,9.4,2.59058123
JEZIK,4.3,0.674948558,4.8,0.421637021,3.888888889,1.364225462,4.888888889,0.333333333,3.75,3.327375628
JEŽ,4.818181818,0.404519917,3.363636364,1.361816968,5,0,5,0,4.090909091,2.547726259
JOGURT,4.9,0.316227766,4.8,0.421637021,5,0,5,0,3.375,1.685018016
JOŠ,1.6,1.264911064,5,0,1.7,1.251665557,5,0,3.3,3.164033993
JUHA,5,0,4.363636364,1.026910636,5,0,4.888888889,0.333333333,3.5,1.414213562
JURITI,4,0.894427191,3.636363636,0.809039835,3.727272727,0.904534034,4.818181818,0.404519917,4.8,1.751190072
JUTRO,4.5,0.902193709,4.704545455,0.73388249,,,,,,
JUČER,3,1.414213562,4.727272727,0.646669791,2.5,1.649915823,5,0,4.2,1.316561177
KAD,2.545454545,1.293339581,5,0,2.363636364,1.629277587,4.727272727,0.646669791,4.272727273,1.555050423
KADA,3,1.879716291,4.419354839,1.118755068,,,,,,
KAHLICA,4.8,0.421637021,2.8,1.398411798,4.888888889,0.333333333,3.888888889,1.054092553,3.333333333,2.291287847
KAKADU,4.302325581,1.08089213,1.813953488,0.982121464,,,,,,
KAKAV,2,1.333333333,4.5,0.849836586,1.4,0.843274043,4.7,0.674948558,5.2,2.740640639
KAKO,2.363636364,1.501514387,4.818181818,0.404519917,2.818181818,1.887759615,4.545454545,0.687551651,4.636363636,2.335496832
KAL,2.1,1.449137675,1.1,0.316227766,2.777777778,1.855921454,1.666666667,1.118033989,4.111111111,7.865183476
KALEŽ,4.5,0.527046277,2.3,1.059349905,4.888888889,0.333333333,4.333333333,0.707106781,9.571428571,3.408672413
KALORIFER,4.340909091,1.199674022,2.318181818,1.215648497,,,,,,
KAMATA,3,1.599418499,3.863636364,1.025056075,,,,,,
KAMELEON,4.25,1.203193425,2.25,1.183707223,,,,,,
KAMEN,4.916666667,0.288675135,4.083333333,0.900336637,4.9,0.316227766,5,0,3,1.414213562
KAMERA,5,0,4.363636364,1.026910636,4.909090909,0.301511345,5,0,6,1.763834207
KAMION,5,0,4,1.103354569,,,,,,
KANAL,4.454545455,1.213559752,3.636363636,1.026910636,4.363636364,1.206045378,4.727272727,0.646669791,8.1,3.63470922
KANDŽA,4.7,0.70221325,1.7,1.2077337,,,,,,
KANTA,5,0,4.2,1.032795559,5,0,5,0,3.777777778,1.481365736
KAOS,3.2,1.37464729,3,1.339068127,,,,,,
KAPA,5,0,4.454545455,0.687551651,5,0,5,0,3.4,2.319003617
KAPAK,4.25,1.422226168,2.833333333,1.114640858,4.583333333,0.900336637,4.666666667,0.651338947,7.916666667,3.728473569
KAPATI,4.181818182,0.981649817,3.818181818,0.873862898,3.333333333,1.658312395,4.888888889,0.333333333,7.125,3.603074084
KAPELICA,4.545454545,0.687551651,3.454545455,1.368476259,4.909090909,0.301511345,4.727272727,0.646669791,6.2,4.049691346
KAPUT,5,0,4.454545455,0.687551651,4.6,0.966091783,4.9,0.316227766,5.125,1.726888201
KARAKTER,2.8,1.689725544,3.7,1.465699786,,,,,,
KARAVAN,4.090909091,1.300349603,3.181818182,1.401298099,4.181818182,1.167748416,3.909090909,1.300349603,9.666666667,3.968626967
KARTA,4.913043478,0.288104066,3.782608696,1.506245234,,,,,,
KARTATI,4.727272727,0.467099366,3.545454545,1.12815215,4.272727273,1.009049958,5,0,5.8,2.394437999
KASNI,3.818181818,1.401298099,4,1,3,1.483239697,4.818181818,0.603022689,5.888888889,1.615893286
KASNIJE,2.636363636,1.286291357,4.818181818,0.404519917,2.1,1.100504935,4.9,0.316227766,4.7,1.418136492
KASNITI,3,1.705605731,4.043478261,1.460954261,,,,,,
KASNO,3.454545455,0.820199532,4.272727273,0.786245393,3.272727273,1.348399725,5,0,4.090909091,1.445997611
KATAPULT,3.860465116,1.283250993,1.813953488,0.95757168,,,,,,
KATARZA,2.209302326,1.337341705,1.604651163,0.849076105,,,,,,
KATASTROFALAN,2.7,0.948683298,3,1.154700538,2.9,1.100504935,4.7,0.483045892,8.625,5.153015761
KATASTROFALNO,3.2,1.398411798,3.6,1.173787791,2.8,1.229272594,4.4,0.843274043,7.5,2.42899156
KATEDRALA,4.636363636,0.674199862,3.363636364,1.566698904,4.818181818,0.603022689,4.909090909,0.301511345,6.909090909,3.113022501
KAUČ,4.818181818,0.603022689,4.727272727,0.646669791,5,0,5,0,2.555555556,1.943650632
KAVA,4.866666667,0.571346464,5,0,,,,,,
KAZATI,2.090909091,1.136181804,2.636363636,1.286291357,3,0.666666667,3.8,0.918936583,7.625,3.814914341
KAŠICA,4.8,0.421637021,3,1.154700538,4.444444444,0.726483157,4.888888889,0.333333333,2.333333333,1.224744871
KEKS,4.6,0.966091783,4.5,0.849836586,5,0,5,0,2,0.755928946
KELJ,4.8,0.632455532,3.6,0.966091783,4.777777778,0.666666667,4.666666667,0.707106781,4.888888889,2.204792759
KESTEN,5,0,2.8,1.584406775,,,,,,
KILOMETAR,3.074074074,1.774302158,3.333333333,1.519109051,,,,,,
