"targetWord","score.std.gusto","score.gusto","score.std.olfatto","score.olfatto","score.std.tatto","score.tatto","score.std.udito","score.udito","score.std.vista","score.vista","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"frenetico",-0.759,0.128,-0.759,0.154,-0.584,0.487,0.611,3,1.135,4.103,1.135,4.103,"vista",-0.356,7.872,1.023,0.505,9,64,2.765,0.577,-0.239,3,2.4,0.434,6.118,0.49,5,0.089,5.333
"fresco",0.989,4,0.28,2.529,1.135,4.324,-0.579,0.706,0.637,3.324,1.135,4.324,"tatto",2.463,14.882,1.493,0.243,6,1464,4.144,13.979,1.145,8,1.4,0.849,6.882,-0.998,2.944,0.767,6.556
"friabile",0.391,2.639,-0.555,0.622,1.13,4.162,0.062,1.919,0.877,3.622,1.13,4.162,"tatto",1.906,12.963,1.474,0.273,8,16,2.252,0.171,-0.766,2,2.35,-0.358,4.316,0.423,4.824,0.228,5.632
"frignante",-0.805,0,-0.796,0.077,-0.781,0.053,1.404,4.615,0.718,3.256,1.404,4.615,"udito",-0.261,8.001,0.761,0.577,9,2,1.367,0.016,-1.807,1,2.05,-1.028,3.111,0.068,4.789,0.037,5
"frusciante",-0.839,0.152,-0.832,0.147,-0.342,1.176,1.387,4.853,0.1,2.147,1.387,4.853,"udito",-0.526,8.475,1.083,0.555,10,3,1.589,0.031,-1.506,1,2.4,-0.216,4.5,0.637,5.526,-0.345,4.316
"fruttato",1.35,4.7,1.142,4.275,-0.596,0.615,-0.819,0.154,0.31,2.575,1.35,4.7,"gusto",1.387,12.319,1.267,0.369,8,97,2.907,0.803,-0.096,8,1.5,-0.096,5.118,-0.165,4.056,0.273,5.722
"fruttoso",1.255,4.462,0.99,3.897,-0.526,0.744,-0.805,0.179,0.561,3.077,1.255,4.462,"gusto",1.474,12.359,1.308,0.347,8,1,1.191,0.008,-2.108,1,2.1,-0.662,4.235,0,4.25,-0.263,4.833
"fucsia",-0.779,0.103,-0.659,0.368,-0.809,0.026,-0.779,0.103,1.579,5,1.579,5,"vista",-1.448,5.6,0.452,0.888,6,26,2.58,0.374,-0.427,1,1.95,0.589,6.412,-1.202,2.722,0.119,5.389
"fulgido",-0.745,0.171,-0.718,0.229,-0.494,0.686,-0.634,0.4,0.821,3.486,0.821,3.486,"vista",-1.769,4.971,0.983,0.667,7,17,2.145,0.132,-0.878,3,1.95,-1.192,3.235,1.57,6.286,-1.498,2.556
"fumoso",-0.371,1.1,0.978,3.925,-0.601,0.6,-0.687,0.425,1.212,4.425,1.212,4.425,"vista",0.531,10.475,1.262,0.382,6,17,2.169,0.14,-0.853,6,1.7,-0.253,4.824,0.266,4.706,-0.397,4.5
"gelato",0.595,2.949,-0.396,0.872,1.517,4.846,-0.627,0.462,0.908,3.641,1.517,4.846,"tatto",1.997,12.769,1.367,0.343,6,1598,4.324,21.17,1.326,16,1.05,0.879,6.941,-1.342,2.444,0.816,6.667
"gelido",0.143,2.154,-0.502,0.825,1.436,4.875,-0.563,0.725,0.55,3.05,1.436,4.875,"tatto",1.064,11.629,1.389,0.357,6,153,3.13,1.348,0.13,6,1.7,0.651,6.529,-0.43,3.667,0.635,6.333
"generico",-0.46,0.769,-0.449,0.795,-0.357,1,0.134,2.026,0.527,2.846,0.527,2.846,"vista",-0.605,7.436,1.465,0.279,8,134,3.077,1.192,0.076,5,1.75,0.578,6.053,0.255,4.588,-0.506,4.526
"geniale",-0.53,0.818,-0.677,0.485,-0.514,0.848,0.723,3.485,0.539,3.091,0.723,3.485,"udito",-0.459,8.727,1.343,0.344,7,1470,4.169,14.82,1.171,5,1.4,0.989,6.667,-0.307,4.2,0.558,6
"ghiacciato",0.488,2.9,-0.438,0.95,1.399,4.8,-0.455,0.925,1.094,4.2,1.399,4.8,"tatto",2.089,13.775,1.423,0.281,10,185,3.24,1.738,0.24,5,1.65,0.646,6.105,-1.005,2.882,0.761,6.579
"ghiaioso",-0.747,0.189,-0.689,0.324,1.162,4.243,0.495,2.811,1.422,4.784,1.422,4.784,"vista",1.643,12.351,1.231,0.372,8,1,1.191,0.008,-2.108,1,2.75,-0.985,3.588,-0.218,4.059,-0.108,4.944
"giallastro",-0.643,0.385,-0.681,0.308,-0.757,0.154,-0.829,0,1.569,4.974,1.569,4.974,"vista",-1.34,5.82,0.565,0.855,10,7,1.793,0.055,-1.263,2,3.1,-0.306,4.421,-0.686,3.353,-0.364,4.526
"giallo",-0.71,0.231,-0.686,0.256,-0.759,0.128,-0.767,0.105,1.585,4.974,1.585,4.974,"vista",-1.337,5.695,0.547,0.855,6,1037,4.089,12.311,1.09,9,1.4,0.946,6.737,-1.473,2.294,0.855,6.684
"giallognolo",-0.782,0.225,-0.738,0.325,-0.855,0.075,-0.844,0.1,1.451,4.9,1.451,4.9,"vista",-1.768,5.625,0.543,0.858,11,4,1.589,0.031,-1.506,2,4.15,-0.466,4.158,-0.003,4.294,-0.756,3.842
"gigante",-0.865,0.091,-0.863,0.091,0.815,3.636,-0.271,1.333,1.387,4.879,1.387,4.879,"vista",0.203,10.03,1.072,0.477,7,1317,4.167,14.727,1.168,6,1.65,0.772,6.389,-1.353,2.6,0.794,6.421
"giusto",-0.345,1.175,-0.406,1.05,-0.375,1.1,0.27,2.5,0.481,2.925,0.481,2.925,"vista",-0.375,8.75,1.509,0.214,6,16087,5.657,455.847,2.659,18,1,1.014,6.842,-1.112,2.765,-0.024,5.263
"glassato",1.225,4.256,-0.088,1.553,0.571,2.949,-0.78,0.053,1.16,4.154,1.225,4.256,"gusto",2.087,12.964,1.344,0.324,8,22,2.27,0.179,-0.747,4,1.7,-0.891,3.368,0.557,5.059,0.239,5.632
"globulare",-0.532,0.632,-0.818,0.026,0.7,3.211,-0.679,0.316,1.114,4.105,1.114,4.105,"vista",-0.215,8.289,1.054,0.492,9,2,1.589,0.031,-1.506,1,2.7,-1.349,3.118,1.721,6.588,-0.864,3.611
"gommoso",0.448,2.882,-0.443,0.941,1.349,4.765,-0.593,0.647,0.839,3.758,1.349,4.765,"tatto",1.601,12.993,1.4,0.317,7,32,2.446,0.273,-0.564,4,1.75,0.015,4.833,-0.765,3.5,0.366,5.611
"gonfio",-0.725,0.237,-0.749,0.179,1.348,4.513,-0.565,0.513,1.463,4.744,1.463,4.744,"vista",0.772,10.186,1.026,0.448,6,264,3.37,2.345,0.37,4,1.6,0.632,6.158,-0.879,3.059,0.751,6.579
"gorgogliante",-0.744,0.184,-0.748,0.184,-0.492,0.684,1.451,4.73,0.277,2.316,1.451,4.73,"udito",-0.256,8.098,1.053,0.561,12,9,1.931,0.078,-1.108,1,3.05,-1.231,2.611,0.719,5.684,-0.906,3.263
"gracchiante",-0.906,0,-0.843,0.118,-0.729,0.353,1.448,4.971,-0.082,1.735,1.448,4.971,"udito",-1.112,7.176,0.813,0.693,11,5,1.735,0.047,-1.33,0,2.55,-1.166,3.294,0.561,5.059,-0.209,4.778
"gracile",-0.797,0.105,-0.792,0.027,0.89,3.605,-0.321,1.054,1.294,4.421,1.294,4.421,"vista",0.274,9.213,1.036,0.477,7,28,2.408,0.249,-0.603,2,1.9,-0.191,4.5,0.215,4.9,-0.133,4.632
"graffiato",-0.655,0.359,-0.744,0.179,1.171,4.179,-0.309,1.077,1.415,4.692,1.415,4.692,"vista",0.878,10.487,1.145,0.43,9,190,3.238,1.73,0.238,8,1.45,0.368,5.632,-0.917,3,0.413,6
"grande",-0.787,0.225,-0.722,0.35,1.282,4.575,-0.088,1.7,1.464,4.925,1.464,4.925,"vista",1.149,11.775,1.191,0.399,6,15523,5.615,414.02,2.617,22,1,0.838,6.882,-1.45,2.333,0.852,6.722
"granuloso",0.281,2.405,-0.747,0.189,1.327,4.595,-0.475,0.757,1.23,4.378,1.327,4.595,"tatto",1.616,12.324,1.29,0.357,9,5,1.735,0.047,-1.33,3,2.3,-0.108,5.118,0.506,5.056,-0.523,4.278
"grasso",0.553,3.05,-0.205,1.45,0.965,3.925,-0.687,0.425,1.348,4.7,1.348,4.7,"vista",1.975,13.55,1.41,0.315,6,1529,4.258,18.163,1.259,10,1.4,1.111,6.889,-1.079,3.05,0.969,6.737
"grezzo",-0.578,0.568,-0.661,0.378,0.907,3.73,-0.137,1.541,1.106,4.135,1.106,4.135,"vista",0.637,10.351,1.298,0.363,6,158,3.166,1.465,0.166,6,1.6,0.342,5.5,0.543,5.5,0.386,5.684
"gridante",-0.842,0.103,-0.842,0.103,-0.761,0.289,1.505,5,0.221,2.359,1.505,5,"udito",-0.719,7.854,0.884,0.624,8,NA,NA,NA,NA,2,1.85,-1.646,2.588,-0.019,4.294,-0.924,3.5
"grigetto",-0.816,0.026,-0.817,0.026,-0.767,0.128,-0.768,0.128,1.547,4.949,1.547,4.949,"vista",-1.62,5.256,0.29,0.937,8,1,1.191,0.008,-2.108,0,1.95,-0.999,3.588,-0.39,3.706,-0.653,4
"grigio",-0.784,0.103,-0.734,0.154,-0.783,0.128,-0.772,0.154,1.597,4.974,1.597,4.974,"vista",-1.476,5.512,0.454,0.884,6,607,3.798,6.304,0.8,7,1.55,0.952,6.737,-1.375,2.412,0.606,6.263
"grigliato",1.182,4.243,0.921,3.703,0.056,1.919,-0.501,0.73,1.276,4.444,1.276,4.444,"vista",2.934,15.039,1.472,0.247,9,59,2.716,0.514,-0.289,6,1.7,0.247,5.474,-0.236,3.941,0.437,5.947
"grosso",-0.516,0.722,-0.771,0.167,1.149,4.222,-0.395,0.971,1.435,4.806,1.435,4.806,"vista",0.902,10.888,1.188,0.426,6,6178,4.873,74.903,1.875,9,1.35,0.841,6.882,-1.345,2.444,0.87,6.722
"grottesco",-0.685,0.308,-0.537,0.615,-0.358,0.974,0.474,2.718,1.177,4.205,1.177,4.205,"vista",0.071,8.821,1.262,0.442,9,90,2.919,0.826,-0.083,3,2.8,0.118,5.158,0.874,5.471,-0.347,4.579
"grumoso",0.303,2.41,-0.685,0.333,1.254,4.333,-0.76,0.179,1.109,4.026,1.254,4.333,"tatto",1.222,11.282,1.235,0.368,7,7,1.844,0.062,-1.205,2,1.85,-1.278,2.632,0.603,5.125,-0.601,4.316
"gustoso",1.534,5,0.692,3.27,-0.461,0.811,-0.702,0.297,0.621,3.108,1.534,5,"gusto",1.685,12.486,1.33,0.377,7,142,3.091,1.231,0.09,3,1.75,0.625,6.105,-0.522,3.529,0.645,6.389
"ideale",-0.096,1.553,-0.186,1.359,-0.209,1.282,0.073,1.872,0.238,2.282,0.238,2.282,"vista",-0.181,8.348,1.586,0.12,6,1233,4.064,11.618,1.065,8,1.4,0.854,6.526,0.306,4.706,-0.094,5.105
"ideologico",-0.814,0.175,-0.855,0.077,-0.835,0.125,0.18,2.3,0.068,2.05,0.18,2.3,"udito",-2.257,4.727,0.998,0.47,10,19,2.212,0.156,-0.807,3,2.2,0.11,5.158,1.495,6.294,-0.461,4.421
"illogico",-0.747,0.375,-0.767,0.303,-0.548,0.758,0.252,2.455,0.414,2.848,0.414,2.848,"vista",-1.397,6.739,1.278,0.378,8,58,2.682,0.475,-0.323,2,2.4,0.579,6.412,0.929,5.667,-0.052,5.056
"illusorio",-0.523,0.641,-0.403,0.923,-0.208,1.282,0.204,2.154,0.646,3.077,0.646,3.077,"vista",-0.284,8.077,1.461,0.302,9,19,2.232,0.164,-0.786,3,2.45,0.257,5.765,1.057,5.778,-0.469,4.333
"imbiancato",-0.817,0.026,0.122,1.974,-0.397,0.897,-0.829,0,1.518,4.897,1.518,4.897,"vista",-0.403,7.795,0.908,0.628,10,15,2.145,0.132,-0.878,5,1.95,0.181,5.647,-0.473,3.667,0.431,5.889
"imbianchito",-0.767,0.105,-0.423,0.838,-0.629,0.395,-0.701,0.237,1.422,4.711,1.422,4.711,"vista",-1.099,6.285,0.851,0.733,11,NA,NA,NA,NA,1,2.65,-1.182,2.667,0.277,4.944,-0.776,3.526
"imbrattato",-0.763,0.162,-0.604,0.514,-0.1,1.595,-0.665,0.378,1.506,4.946,1.506,4.946,"vista",-0.625,7.595,1.021,0.63,10,53,2.653,0.444,-0.352,5,1.75,-0.222,4.526,0.12,4.412,0.286,5.737
"immacolato",-0.666,0.333,-0.277,1.158,-0.001,1.744,-0.529,0.615,1.361,4.59,1.361,4.59,"vista",-0.111,8.44,1.248,0.504,10,98,2.894,0.779,-0.108,4,2.4,-0.468,4.053,0.45,4.882,0.156,5.474
"immaginario",-0.6,0.6,-0.496,0.821,-0.481,0.85,0.118,2.15,0.621,3.2,0.621,3.2,"vista",-0.838,7.621,1.406,0.341,11,277,3.447,2.805,0.448,3,1.7,0.849,6.882,-0.751,3.333,0.413,5.944
"immaginato",-0.501,0.692,-0.466,0.769,-0.606,0.462,0.223,2.256,0.536,2.846,0.536,2.846,"vista",-0.814,7.026,1.38,0.339,10,1546,4.14,13.862,1.142,10,1.4,0.772,6.294,-0.49,3.85,0.106,5.211
"immateriale",-0.65,0.545,-0.563,0.697,0.044,1.97,-0.311,1.242,0.414,2.788,0.414,2.788,"vista",-1.065,7.242,1.444,0.31,11,11,2.004,0.094,-1.029,1,2.95,-0.294,4.333,0.787,5.8,-0.666,3.737
"immenso",-0.79,0.242,-0.66,0.485,0.234,2.424,-0.15,1.606,1.345,4.758,1.345,4.758,"vista",-0.02,9.515,1.24,0.475,7,409,3.563,3.662,0.564,7,1.55,0.704,6.263,-0.34,3.765,0.34,5.789
"immobile",-0.829,0.027,-0.72,0.27,0.62,3.135,0.196,2.243,1.478,4.889,1.478,4.889,"vista",0.745,10.565,1.155,0.46,8,518,3.672,4.714,0.673,3,2.15,0.684,6.588,-0.345,3.833,0.398,5.889
"immorale",-0.782,0.225,-0.748,0.3,-0.716,0.375,0.363,2.675,0.628,3.225,0.628,3.225,"vista",-1.255,6.8,1.131,0.441,8,239,3.36,2.291,0.36,3,1.7,0.369,5.632,1.072,5.706,0.055,5.421
"incandescente",-0.183,1.432,-0.316,1.135,1.184,4.297,-0.386,0.972,1.194,4.297,1.194,4.297,"vista",1.493,12.134,1.411,0.274,13,72,2.765,0.577,-0.239,1,3.75,0.049,5.053,0.312,4.647,0.489,6.105
"incolore",-0.656,0.5,-0.574,0.675,-0.823,0.15,-0.746,0.325,1.489,4.975,1.489,4.975,"vista",-1.309,6.625,0.876,0.728,8,24,2.321,0.203,-0.693,2,1.9,-0.052,4.722,0.061,4.8,0.032,5.053
"inconscio",-0.803,0.175,-0.72,0.35,-0.701,0.375,-0.155,1.575,-0.23,1.425,-0.155,1.575,"udito",-2.609,3.9,1.315,0.359,9,131,3.113,1.293,0.112,2,2.35,0.707,6.647,1.391,6.278,-0.06,5.111
"incosciente",-0.858,0.077,-0.83,0.128,-0.682,0.436,-0.071,1.769,0.514,3,0.514,3,"vista",-1.927,5.41,1.045,0.54,11,354,3.484,3.054,0.485,2,2.05,0.722,6.647,0.586,5.111,0.334,5.778
"increspato",-0.703,0.297,-0.819,0.054,1.077,4.081,-0.198,1.405,1.343,4.611,1.343,4.611,"vista",0.7,10.449,1.127,0.436,10,1,1.191,0.008,-2.108,4,2.3,-0.331,4.765,0.654,5.176,-0.032,5.056
"incrociato",-0.788,0.225,-0.832,0.125,0.896,3.8,-0.599,0.625,1.302,4.615,1.302,4.615,"vista",-0.021,9.39,1.042,0.478,10,457,3.601,3.997,0.602,9,1.55,0.324,5.444,-0.436,3.9,0.169,5.316
"indaco",-0.803,0.051,-0.777,0.105,-0.816,0.026,-0.829,0,1.501,4.842,1.501,4.842,"vista",-1.723,5.024,0.19,0.964,6,21,2.367,0.226,-0.646,5,1.7,-0.642,3.611,0.097,4.75,-0.836,3.526
"indeterminato",-0.181,1.459,-0.221,1.378,-0.172,1.459,0.063,1.946,0.194,2.216,0.194,2.216,"vista",-0.316,8.459,1.591,0.099,13,129,3.03,1.067,0.028,3,2.85,0.458,6.176,0.452,5,-0.35,4.611
"indifferente",-0.381,0.949,-0.431,0.846,-0.569,0.538,0.263,2.308,0.465,2.718,0.465,2.718,"vista",-0.654,7.359,1.436,0.296,12,322,3.46,2.891,0.461,2,2.15,0.929,6.684,0.395,4.824,-0.13,5.053
"inerente",-0.473,0.744,-0.485,0.718,-0.413,0.872,0.719,3.231,0.595,2.974,0.719,3.231,"udito",-0.058,8.538,1.389,0.294,8,39,2.503,0.312,-0.506,1,1.95,0.165,5.167,1.029,6.1,-0.106,4.833
"informe",-0.607,0.462,-0.733,0.205,1.073,3.949,-0.703,0.263,1.452,4.718,1.452,4.718,"vista",0.482,9.596,1.041,0.47,7,44,2.58,0.374,-0.427,5,1.5,-0.63,4.235,0.573,5.167,-0.756,3.778
"ingrigito",-0.795,0.212,-0.862,0.061,-0.759,0.273,-0.863,0.061,1.415,4.909,1.415,4.909,"vista",-1.864,5.515,0.477,0.879,9,4,1.589,0.031,-1.506,2,2.5,-0.554,4.294,0.204,4.647,-0.382,4.611
"inodore",0.049,1.846,1.352,4.538,-0.77,0.128,-0.783,0.103,-0.531,0.59,1.352,4.538,"olfatto",-0.684,7.205,0.977,0.616,7,41,2.523,0.327,-0.485,1,1.95,0.156,5.263,-0.11,4.118,-0.11,5.105
"insapore",1.24,4.529,0.194,2.324,-0.814,0.176,-0.807,0.182,-0.628,0.588,1.24,4.529,"gusto",-0.814,7.799,1.045,0.558,8,30,2.434,0.265,-0.577,3,1.95,0.161,5.263,0.016,4.294,-0.226,4.833
"insensato",-0.613,0.636,-0.599,0.667,-0.488,0.906,0.475,2.97,0.41,2.848,0.475,2.97,"udito",-0.816,8.027,1.389,0.291,9,134,3.057,1.138,0.056,4,2.1,0.699,6.588,0.34,4.824,-0.15,4.833
"insipido",1.585,4.974,-0.098,1.513,-0.754,0.108,-0.745,0.132,-0.526,0.615,1.585,4.974,"gusto",-0.538,7.342,0.931,0.663,8,37,2.533,0.335,-0.475,3,2.55,0.363,5.632,0.782,5.353,0.163,5.526
"intelligente",-0.706,0.256,-0.708,0.256,-0.686,0.308,0.748,3.333,0.573,2.897,0.748,3.333,"udito",-0.78,7.051,1.097,0.436,12,4661,4.728,53.701,1.73,10,1.3,1.173,7,-0.9,3.35,0.902,6.632
"intrecciato",-0.629,0.421,-0.815,0.026,1.317,4.474,-0.668,0.324,1.494,4.842,1.494,4.842,"vista",0.698,10.087,0.972,0.477,11,41,2.58,0.374,-0.427,5,1.95,0.417,6.176,-0.253,3.944,0.341,5.778
"inumidito",-0.18,1.385,-0.212,1.282,1.468,4.795,-0.528,0.641,1.201,4.231,1.468,4.795,"tatto",1.749,12.333,1.369,0.337,9,3,1.492,0.023,-1.631,3,2.25,0.288,5.882,-0.03,4.278,0.041,5.222
"invitante",0.75,3.417,0.936,3.806,0.018,1.838,0.281,2.405,1.238,4.405,1.238,4.405,"vista",3.223,15.871,1.564,0.162,9,143,3.066,1.161,0.065,3,1.75,0.352,5.632,0.082,4.353,0.228,5.684
"inzuppato",0.521,2.868,-0.371,0.974,1.209,4.289,-0.564,0.564,1.343,4.553,1.343,4.553,"vista",2.138,13.249,1.39,0.301,9,75,2.814,0.647,-0.189,8,1.6,0.4,6.059,-0.484,3.611,0.385,5.944
"ipnotico",-0.613,0.462,-0.505,0.692,-0.587,0.513,0.595,3,1.403,4.667,1.403,4.667,"vista",0.293,9.333,1.212,0.45,8,54,2.661,0.452,-0.345,2,2.5,-0.257,4.474,0.586,5,-0.665,4.105
"ipotetico",-0.817,0.054,-0.804,0.081,-0.747,0.189,0.272,2.405,0.073,1.972,0.272,2.405,"udito",-2.023,4.702,0.958,0.5,9,88,2.943,0.873,-0.059,2,2.4,0.569,6.412,0.765,5.389,-0.03,5.056
"iridescente",-0.753,0.184,-0.677,0.289,-0.625,0.474,-0.657,0.395,1.47,4.737,1.47,4.737,"vista",-1.241,6.079,0.822,0.749,11,10,2.004,0.094,-1.029,1,3.5,-1.34,3,1.202,5.867,-1.395,2.833
"ironico",-0.767,0.128,-0.78,0.103,-0.756,0.154,1.177,4.205,0.656,3.132,1.177,4.205,"udito",-0.47,7.721,0.9,0.531,7,466,3.613,4.114,0.614,5,1.6,0.887,6.5,0.665,5.579,0.472,5.842
"irrazionale",-0.897,0.03,-0.851,0.121,-0.722,0.364,0.265,2.515,0.331,2.667,0.331,2.667,"vista",-1.875,5.697,1.002,0.463,11,236,3.335,2.166,0.336,3,2.45,0.788,6.421,0.709,5.235,-0.056,5.105
"irregolare",-0.56,0.622,-0.619,0.486,1.098,4.108,0.2,2.216,1.357,4.649,1.357,4.649,"vista",1.475,12.081,1.327,0.345,10,234,3.321,2.096,0.321,3,2.3,0.748,6.316,-0.158,4.059,0.249,5.579
"irritante",0.209,2.412,0.432,2.882,0.597,3.212,0.736,3.529,0.808,3.676,0.808,3.676,"vista",2.782,15.712,1.599,0.08,9,454,3.627,4.247,0.628,3,1.9,0.686,6.111,0.024,4.65,0.623,6.105
"irsuto",-0.739,0.216,-0.786,0.056,1.177,4.189,-0.746,0.216,1.343,4.541,1.343,4.541,"vista",0.249,9.218,0.914,0.487,6,9,1.931,0.078,-1.108,3,1.85,-1.08,2.947,1.606,6.533,-0.939,3.737
"lagnoso",-0.802,0,-0.804,0.053,-0.742,0.158,1.479,4.789,0.6,3,1.479,4.789,"udito",-0.269,8,0.785,0.599,7,26,2.337,0.21,-0.677,4,1.75,-0.748,3.632,0.065,4.294,-0.004,5.263
"lamentoso",-0.895,0.03,-0.895,0.03,-0.88,0.061,1.263,4.625,0.278,2.545,1.263,4.625,"udito",-1.128,7.292,0.742,0.63,9,18,2.191,0.148,-0.83,4,1.95,-0.048,4.833,-0.051,4.55,-0.062,4.842
"lanoso",-0.756,0.3,-0.641,0.525,1.304,4.6,-0.608,0.59,1.012,4.025,1.304,4.6,"tatto",0.311,10.04,1.15,0.428,6,8,2.066,0.109,-0.962,3,1.8,-1.1,2.895,0.239,4.588,-0.943,3.632
"lanuginoso",-0.534,0.727,-0.605,0.606,0.204,2.353,-0.73,0.333,0.78,3.576,0.78,3.576,"vista",-0.884,7.595,1.281,0.427,10,4,1.589,0.031,-1.506,2,3.35,-1.586,2.053,1.454,6.333,-1.49,2.842
"largo",-0.739,0.132,-0.75,0.105,0.914,3.684,-0.383,0.923,1.504,4.846,1.504,4.846,"vista",0.546,9.69,1.046,0.489,5,1397,4.239,17.415,1.241,13,1.1,1.078,6.833,-1.303,2.75,0.883,6.579
"latteo",1.023,4,0.387,2.657,-0.574,0.571,-0.778,0.147,1.289,4.514,1.289,4.514,"vista",1.347,11.89,1.269,0.367,6,7,1.793,0.055,-1.263,4,1.7,-1.277,2.684,0.583,5.059,-0.434,4.474
"leggerissimo",-0.262,1.412,-0.468,0.971,1.258,4.588,0.03,2.029,0.65,3.324,1.258,4.588,"tatto",1.209,12.324,1.467,0.294,12,23,2.305,0.195,-0.71,3,2.65,0.759,6.278,-0.807,3.45,0.552,6
"leggero",-0.193,1.513,-0.377,1.103,1.361,4.718,-0.036,1.821,0.775,3.538,1.361,4.718,"tatto",1.529,12.692,1.468,0.285,7,976,3.953,9.007,0.955,13,1.15,1.073,6.833,-1.166,2.9,1.053,6.895
"lercio",-0.375,1.075,0.825,3.6,0.355,2.625,-0.702,0.4,1.364,4.725,1.364,4.725,"vista",1.467,12.425,1.377,0.348,6,31,2.421,0.257,-0.59,7,1.55,0.074,5.412,0.42,4.944,0.187,5.5
"lieve",-0.105,1.781,-0.009,2,0.296,2.625,0.549,3.161,0.393,2.839,0.549,3.161,"udito",1.122,12.406,1.587,0.111,5,413,3.557,3.615,0.558,11,1.2,0.536,5.833,-0.172,4.35,0.023,5.053
"lilla",-0.771,0.103,-0.684,0.256,-0.759,0.128,-0.832,0.026,1.581,4.974,1.581,4.974,"vista",-1.466,5.487,0.419,0.902,5,32,2.571,0.366,-0.436,20,1,0.268,6,-0.977,3,-0.026,5.167
"limpido",-0.76,0.128,-0.587,0.513,-0.447,0.795,-0.357,1,1.491,4.846,1.491,4.846,"vista",-0.66,7.282,1.043,0.648,7,98,2.939,0.865,-0.063,3,1.75,0.704,6.588,-0.337,3.833,0.744,6.556
"liquoroso",1.457,4.97,1.038,4.118,-0.694,0.412,-0.83,0.147,0.102,2.118,1.457,4.97,"gusto",1.073,11.764,1.212,0.41,9,4,1.589,0.031,-1.506,0,3.1,-0.477,4.158,0.775,5.312,-0.075,5.211
"lisciato",-0.784,0.225,-0.817,0.154,1.403,4.8,-0.678,0.45,1.206,4.41,1.403,4.8,"tatto",0.33,10.039,1.002,0.463,8,6,1.735,0.047,-1.33,8,1.6,-0.721,3.684,-0.062,4.176,-0.482,4.368
"liscio",-0.474,0.744,-0.793,0.079,1.542,4.923,-0.551,0.59,1.223,4.308,1.542,4.923,"tatto",0.947,10.643,1.105,0.455,6,697,3.797,6.288,0.799,10,1.4,0.912,6.684,-1.191,2.647,0.78,6.579
"logico",-0.696,0.282,-0.683,0.308,-0.498,0.692,0.348,2.5,0.589,2.974,0.589,2.974,"vista",-0.94,6.756,1.236,0.398,6,517,3.679,4.784,0.68,4,1.8,0.954,6.737,-0.12,4.118,-0.087,5.105
"longilineo",-0.844,0,-0.845,0,0.788,3.486,-0.706,0.27,1.521,4.973,1.521,4.973,"vista",-0.086,8.73,0.795,0.57,10,1,1.191,0.008,-2.108,2,3.35,-0.275,4.421,0.765,5.294,0.311,5.842
"luccicante",-0.91,0,-0.89,0.029,-0.744,0.273,-0.792,0.242,1.447,4.971,1.447,4.971,"vista",-1.888,5.515,0.408,0.901,10,130,3.083,1.208,0.082,2,2.35,0.256,5.278,-0.647,3.65,0.392,5.684
"lucente",-0.801,0.053,-0.801,0.053,-0.555,0.553,-0.774,0.105,1.425,4.711,1.425,4.711,"vista",-1.505,5.474,0.526,0.851,7,99,2.98,0.951,-0.022,3,1.85,0.119,5.158,0.013,4.294,-0.004,5.211
"lucidato",-0.849,0.1,-0.728,0.35,0.547,3.05,-0.609,0.6,1.333,4.675,1.333,4.675,"vista",-0.307,8.775,1.066,0.521,8,41,2.543,0.343,-0.465,6,1.7,-0.107,4.789,-0.133,4.059,0.313,5.789
"lucido",-0.755,0.154,-0.832,0,0.191,2.103,-0.765,0.128,1.549,4.949,1.549,4.949,"vista",-0.613,7.333,0.775,0.675,6,503,3.668,4.667,0.669,9,1.5,0.719,6.647,-0.361,3.778,0.723,6.5
"luminoso",-0.843,0,-0.844,0,-0.725,0.243,-0.72,0.243,1.531,4.972,1.531,4.972,"vista",-1.601,5.459,0.362,0.911,8,350,3.518,3.304,0.519,5,1.95,0.94,6.737,-0.877,3.059,0.838,6.684
"lungo",-0.806,0.206,-0.816,0.176,1.228,4.529,-0.056,1.818,1.419,4.912,1.419,4.912,"vista",0.969,11.642,1.156,0.407,5,8277,5.029,107.302,2.031,17,1,0.879,6.941,-1.352,2.444,0.911,6.833
"luppolato",1.225,4.447,0.784,3.5,-0.827,0.128,-0.88,0.026,-0.19,1.487,1.225,4.447,"gusto",0.112,9.588,1.087,0.461,9,NA,NA,NA,NA,0,2.9,-1.515,2.056,1.476,6.75,-1.167,3
"lustrato",-0.817,0.026,-0.468,0.769,0.423,2.615,-0.658,0.359,1.465,4.795,1.465,4.795,"vista",-0.055,8.564,1.054,0.557,8,9,1.931,0.078,-1.108,4,1.8,-1.064,3.471,0.446,5,-1.121,3.222
"lustro",-0.882,0.027,-0.614,0.579,0.09,2.053,-0.658,0.474,1.262,4.526,1.262,4.526,"vista",-0.802,7.659,1.051,0.587,6,40,2.543,0.343,-0.465,5,1.75,-0.637,4.235,0.611,5.176,-0.931,3.611
