"targetWord","score.std.gusto","score.gusto","score.std.olfatto","score.olfatto","score.std.tatto","score.tatto","score.std.udito","score.udito","score.std.vista","score.vista","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"arancione",-0.604,0.462,-0.651,0.359,-0.7,0.256,-0.781,0.103,1.585,5,1.585,5,"vista",-1.151,6.179,0.731,0.792,9,424,3.672,4.706,0.673,2,1.75,0.871,6.579,-1.473,2.294,0.599,6.211
"arcato",-0.86,0.1,-0.876,0.067,1.082,4.233,-0.672,0.5,1.384,4.867,1.384,4.867,"vista",0.058,9.767,0.943,0.491,6,NA,NA,NA,NA,10,1.25,-1.69,1.895,0.772,5.25,-1.828,2.474
"argentato",-0.755,0.154,-0.731,0.205,-0.549,0.564,-0.704,0.263,1.524,4.897,1.524,4.897,"vista",-1.214,6.084,0.738,0.78,9,55,2.722,0.522,-0.282,3,1.85,0.068,5.105,-0.459,3.647,0.301,5.737
"argenteo",-0.819,0.054,-0.805,0.081,-0.506,0.73,-0.726,0.243,1.48,4.892,1.48,4.892,"vista",-1.375,6,0.653,0.806,8,16,2.421,0.257,-0.59,3,1.8,-0.295,4.824,0.33,4.765,0.222,5.556
"aromatico",1.281,4.594,1.361,4.788,-0.827,0.156,-0.877,0.061,-0.148,1.594,1.361,4.788,"olfatto",0.79,11.192,1.094,0.422,9,13,2.145,0.132,-0.878,3,2.1,0.054,4.889,0.33,5.158,0.482,5.842
"arricciato",-0.726,0.231,-0.808,0.051,1.013,3.846,-0.723,0.231,1.486,4.795,1.486,4.795,"vista",0.243,9.154,0.918,0.518,10,15,2.27,0.179,-0.747,4,1.95,-0.032,4.778,-0.134,4.35,-0.261,4.579
"arrossato",-0.796,0.103,-0.678,0.308,-0.517,0.641,-0.794,0.103,1.571,4.949,1.571,4.949,"vista",-1.214,6.103,0.695,0.794,9,22,2.288,0.187,-0.728,4,1.8,0.536,6.353,-0.634,3.444,0.5,6.111
"arrossito",-0.427,1.029,-0.41,1.059,-0.613,0.618,-0.722,0.382,1.401,4.882,1.401,4.882,"vista",-0.77,7.971,1.177,0.565,9,25,2.381,0.234,-0.631,5,1.75,0.63,6,-0.625,3.65,0.087,5.105
"arrostito",0.962,3.718,0.825,3.41,-0.197,1.308,-0.57,0.564,1.363,4.538,1.363,4.538,"vista",2.382,13.538,1.427,0.294,9,78,2.824,0.662,-0.179,5,1.75,0.324,5.389,-0.497,3.9,0.687,6.222
"arrotondato",-0.595,0.487,-0.701,0.256,1.384,4.59,-0.525,0.615,1.496,4.816,1.496,4.816,"vista",1.058,10.765,1.116,0.424,11,29,2.408,0.249,-0.603,5,2.1,0.401,5.737,-0.408,3.706,0.404,5.947
"arrugginito",-0.329,1.027,0.037,1.811,0.553,2.865,-0.521,0.703,1.447,4.73,1.447,4.73,"vista",1.187,11.135,1.403,0.362,11,240,3.334,2.158,0.334,4,2.05,0.407,5.722,0,4.25,0.412,5.947
"asprigno",1.387,4.848,0.296,2.559,-0.766,0.265,-0.792,0.242,-0.38,1.091,1.387,4.848,"gusto",-0.254,9.005,1.148,0.512,8,NA,NA,NA,NA,1,2.75,-1.289,3.176,0.499,5,-0.971,3.611
"aspro",1.491,4.975,0.451,2.825,-0.766,0.275,-0.792,0.225,-0.09,1.7,1.491,4.975,"gusto",0.295,10,1.19,0.475,5,75,2.839,0.686,-0.164,7,1.55,0.5,6.294,-0.554,3.611,0.428,5.944
"assoluto",-0.569,0.758,-0.582,0.727,-0.551,0.75,0.08,2.152,0.059,2.121,0.08,2.152,"udito",-1.564,6.508,1.476,0.219,8,1135,4.021,10.527,1.022,8,1.4,0.89,6.5,0.444,5.25,0.003,5.053
"assorbente",-0.787,0.273,-0.804,0.212,0.681,3.424,-0.498,0.879,0.783,3.625,0.783,3.625,"vista",-0.624,8.413,1.169,0.406,10,85,2.915,0.818,-0.087,1,2.7,0.679,6.588,0.487,5,0.618,6.333
"assordante",-0.831,0.027,-0.831,0.027,-0.769,0.162,1.534,5,-0.29,1.162,1.534,5,"udito",-1.187,6.378,0.641,0.78,10,71,2.782,0.6,-0.222,1,2.3,0.47,6.176,0.103,4.5,0.382,5.889
"assorto",-0.805,0,-0.784,0.128,-0.729,0.158,-0.167,1.41,0.974,3.795,0.974,3.795,"vista",-1.512,5.491,0.794,0.691,7,29,2.408,0.249,-0.603,6,1.7,0.095,5.158,0.763,5.375,-0.025,5.333
"astratto",-0.805,0.081,-0.734,0.243,-0.665,0.351,0.124,2.081,0.246,2.324,0.246,2.324,"vista",-1.834,5.081,1.12,0.442,8,86,2.907,0.803,-0.096,7,1.65,0.704,6.647,0.84,5.588,0.145,5.389
"astringente",-0.104,1.541,-0.419,0.838,-0.204,1.278,-0.742,0.139,-0.014,1.73,-0.014,1.73,"vista",-1.482,5.525,1.437,0.288,11,5,1.793,0.055,-1.263,1,2.6,-1.061,2.941,1.194,6.421,-1.477,2.421
"astruso",-0.674,0.316,-0.622,0.421,-0.505,0.658,0.139,2.053,0.291,2.351,0.291,2.351,"vista",-1.371,5.799,1.329,0.351,7,8,1.844,0.062,-1.205,4,2.25,-0.76,3.444,1.24,6.316,-1.358,2.579
"atemporale",-0.743,0.179,-0.683,0.316,-0.707,0.256,-0.333,1.051,0.025,1.821,0.025,1.821,"vista",-2.441,3.623,1.254,0.453,10,1,1.191,0.008,-2.108,0,2.4,-0.951,3.333,1.343,6.6,-0.949,3.158
"atipico",0.196,2.179,0.106,2,0.19,2.154,0.586,3,0.883,3.615,0.883,3.615,"vista",1.962,12.949,1.582,0.125,7,36,2.513,0.319,-0.496,4,1.75,0.195,5.222,1.067,6.15,-0.626,3.842
"attorcigliato",-0.718,0.231,-0.792,0.077,1.188,4.231,-0.62,0.421,1.421,4.718,1.421,4.718,"vista",0.479,9.677,0.976,0.48,13,25,2.337,0.21,-0.677,5,2.35,0.057,4.944,-0.316,4.1,-0.157,4.684
"avariato",1.396,4.853,1.3,4.676,-0.283,1.333,-0.759,0.294,0.906,3.882,1.396,4.853,"gusto",2.56,15.039,1.37,0.303,8,46,2.653,0.444,-0.352,5,1.7,-0.084,4.778,0.42,5.25,0.128,5.211
"avorio",-0.846,0.1,-0.754,0.275,-0.155,1.55,-0.749,0.3,1.398,4.8,1.398,4.8,"vista",-1.106,7.025,0.916,0.669,6,155,3.202,1.59,0.201,3,1.6,-0.485,3.889,0.041,4.7,-0.074,4.789
"azzurro",-0.82,0.051,-0.808,0.051,-0.747,0.154,-0.784,0.077,1.585,4.974,1.585,4.974,"vista",-1.574,5.308,0.314,0.928,7,494,3.785,6.109,0.786,5,1.65,0.937,6.556,-1.49,2.55,0.887,6.556
"azzurrognolo",-0.759,0.128,-0.736,0.158,-0.783,0.103,-0.784,0.103,1.585,4.974,1.585,4.974,"vista",-1.477,5.466,0.425,0.891,12,NA,NA,NA,NA,0,5.35,-0.789,3.389,-0.05,4.5,-0.363,4.222
"bacato",-0.217,1.256,-0.411,0.846,0.167,2.026,-0.276,1.231,0.972,3.744,0.972,3.744,"vista",0.236,9.103,1.465,0.318,6,24,2.321,0.203,-0.693,13,1.2,-0.476,3.944,0.607,5.55,-0.97,3.167
"bagnato",-0.251,1.333,-0.338,1.179,1.471,4.923,-0.302,1.256,1.236,4.462,1.471,4.923,"tatto",1.817,13.154,1.407,0.285,7,738,3.883,7.667,0.885,14,1.25,1.042,6.778,-1.653,2.2,0.906,6.632
"basso",-0.805,0,-0.805,0,0.609,3,-0.294,1.103,1.514,4.846,1.514,4.846,"vista",0.218,8.949,0.957,0.542,5,3507,4.57,37.3,1.572,24,1,0.879,6.941,-1.455,2.333,0.617,6.389
"battente",-0.809,0.175,-0.791,0.205,-0.086,1.675,1.071,4.125,0.806,3.6,1.071,4.125,"udito",0.192,9.78,1.187,0.404,8,31,2.47,0.288,-0.54,4,1.65,-0.793,3.474,0.537,5,-0.186,5.053
"beige",-0.778,0.103,-0.753,0.154,-0.785,0.077,-0.766,0.128,1.565,4.974,1.565,4.974,"vista",-1.517,5.436,0.406,0.901,5,117,3.115,1.301,0.114,4,1.75,0.232,5.882,-0.554,3.556,0.312,5.722
"bello",-0.252,1.382,-0.082,1.765,0.154,2.265,0.816,3.676,1.432,4.941,1.432,4.941,"vista",2.068,14.029,1.502,0.254,5,12868,5.433,272.115,2.435,42,1,1.098,7,-1.737,1.941,0.714,6.474
"bianco",-0.706,0.4,-0.782,0.225,-0.709,0.385,-0.746,0.325,1.466,4.925,1.466,4.925,"vista",-1.476,6.26,0.809,0.751,6,4098,4.744,55.727,1.746,15,1,1.107,6.889,-1.752,2.15,1.049,6.895
"bicolore",-0.746,0.308,-0.872,0.051,-0.794,0.2,-0.769,0.25,1.498,5,1.498,5,"vista",-1.683,5.809,0.578,0.852,8,12,2.004,0.094,-1.029,1,2.5,-0.123,5.176,-0.161,4.111,0.136,5.5
"biforcuto",-0.885,0.026,-0.869,0.054,0.974,3.947,-0.676,0.447,1.408,4.816,1.408,4.816,"vista",-0.047,9.291,0.897,0.516,9,10,1.969,0.086,-1.067,3,2.5,-0.984,3.105,0.378,4.765,-0.211,4.789
"bilaterale",-0.772,0.154,-0.743,0.132,0.416,2.667,-0.424,0.821,1.08,3.974,1.08,3.974,"vista",-0.443,7.747,1.094,0.496,10,35,2.513,0.319,-0.496,1,2.5,-0.111,4.562,0.864,5.9,-0.882,3.278
"biondo",-0.757,0.167,-0.792,0.111,-0.765,0.162,-0.821,0.054,1.505,4.946,1.505,4.946,"vista",-1.63,5.44,0.423,0.899,6,348,3.595,3.943,0.596,9,1.45,0.836,6.526,-1.122,2.765,0.811,6.632
"bisbigliante",-0.823,0.026,-0.791,0.077,-0.803,0.051,1.515,4.868,0.105,1.949,1.515,4.868,"udito",-0.798,6.972,0.714,0.695,12,NA,NA,NA,NA,2,2.25,-0.77,3.941,0.267,4.722,-0.57,4.167
"biscottato",1.208,4.282,0.433,2.667,0.369,2.513,-0.321,1.077,1.068,3.974,1.208,4.282,"gusto",2.756,14.513,1.523,0.221,10,2,1.367,0.016,-1.807,2,2.55,-0.513,4,-0.087,4.5,-0.202,4.579
"blu",-0.784,0.077,-0.759,0.128,-0.747,0.128,-0.811,0.053,1.585,4.974,1.585,4.974,"vista",-1.516,5.36,0.354,0.918,3,3083,4.647,44.515,1.649,35,1,1.015,6.842,-1.6,2.118,0.829,6.632
"bluastro",-0.695,0.243,-0.695,0.243,-0.785,0.135,-0.802,0,1.591,4.973,1.591,4.973,"vista",-1.386,5.595,0.467,0.889,8,11,2.004,0.094,-1.029,3,2.55,-0.695,3.684,-0.039,4.176,-0.257,4.895
