word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
Sunday,6,7,14,1.8,15,1.93,15,7.6,15,2.71,21,2.6,15,1.01,-2.38,-2.16,1.77,-1.08,-0.31
sundown,7,6.36,14,3.47,15,6.07,14,4.8,15,6.38,21,5.47,15,0.42,-0.96,1.28,-0.19,1.32,2.45
sunflower,9,6.79,14,2.93,15,5.07,15,7.13,15,6.81,21,3.47,15,0.81,-1.42,0.45,1.44,1.6,0.53
sunlamp,7,4.43,14,5.79,14,4.54,13,6.47,15,4.43,21,3.87,15,-1.33,1.02,0.01,0.98,0.04,0.91
sunlight,8,6.86,14,2.47,15,6.77,13,5,15,6.38,21,5.4,15,0.88,-1.81,1.87,-0.05,1.32,2.38
sunrise,7,6.79,14,2.43,14,6.64,14,5,15,6.86,21,5.33,15,0.81,-1.85,1.76,-0.05,1.63,2.32
sunroof,7,6.71,14,3.47,15,5.57,14,6.33,15,6.19,21,4.67,15,0.75,-0.96,0.87,0.88,1.2,1.68
sunset,6,6.93,14,2.2,15,5.27,15,4.6,15,6.71,21,4.13,15,0.94,-2.04,0.61,-0.33,1.54,1.17
sunshine,8,6.93,14,2.67,15,6,14,4.33,15,6.71,21,5.47,15,0.94,-1.64,1.23,-0.52,1.54,2.45
sunspot,7,5.14,14,5.87,15,4.71,14,4.21,14,4.9,21,2.47,15,-0.68,1.09,0.15,-0.6,0.36,-0.44
sunstroke,9,5,14,5.6,15,4.86,14,5.21,14,3.24,21,3.6,15,-0.81,0.86,0.27,0.1,-0.73,0.65
suntan,6,6.07,14,4.13,15,5.79,14,6.4,15,5.57,21,4.8,15,0.16,-0.39,1.05,0.93,0.79,1.81
superhuman,10,6.71,14,4.2,15,5.93,15,4.87,15,4.24,21,2.73,15,0.75,-0.33,1.17,-0.14,-0.08,-0.18
superimpose,11,5.36,14,6.67,15,4.07,15,6.47,15,2.95,21,1.33,15,-0.48,1.77,-0.39,0.98,-0.92,-1.53
superman,8,6.93,14,3.13,15,5.29,14,5.07,15,6.76,21,4.07,15,0.94,-1.25,0.63,0,1.57,1.1
supermarket,11,6.93,14,2.87,15,4.29,14,8.67,15,6.81,21,5.2,15,0.94,-1.47,-0.2,2.52,1.6,2.19
supersonic,10,5.21,14,5.87,15,4.8,15,5.57,14,3.33,21,3.07,15,-0.61,1.09,0.23,0.35,-0.67,0.14
superstar,9,7,14,3.73,15,4.6,15,5.53,15,4.48,21,3.8,15,1.01,-0.73,0.06,0.32,0.08,0.85
supervision,11,6.43,14,4.13,15,4.33,15,5.87,15,3,21,2.13,15,0.49,-0.39,-0.16,0.56,-0.89,-0.76
surfboard,9,6.5,14,3.73,15,6.36,14,6,15,6.52,21,4.67,15,0.55,-0.73,1.52,0.65,1.41,1.68
swimsuit,8,6.86,14,2.27,15,5.87,15,5,15,6.43,21,3.4,15,0.88,-1.99,1.11,-0.05,1.35,0.46
takeoff,7,6.79,14,3.73,15,3.8,15,6.21,14,5.29,21,4,15,0.81,-0.73,-0.61,0.8,0.61,1.04
takeover,8,6.5,14,4.33,15,4.87,15,4.47,15,2.43,21,2.13,15,0.55,-0.22,0.28,-0.42,-1.26,-0.76
tapeworm,8,6.21,14,5.2,15,3.67,15,8.07,15,5.1,21,4.07,15,0.29,0.52,-0.72,2.1,0.48,1.1
taxicab,7,6.93,14,3.27,15,5.4,15,4.08,13,6.71,21,3.4,15,0.94,-1.13,0.73,-0.69,1.54,0.46
teammate,8,6.93,14,2.67,15,6.36,14,5.33,15,5.76,21,3.47,15,0.94,-1.64,1.52,0.18,0.92,0.53
teamwork,8,6.93,14,2.73,15,6.07,15,4.53,15,3.48,21,3.13,15,0.94,-1.59,1.28,-0.38,-0.58,0.21
tearoom,7,4.79,14,4.8,15,5.57,14,5.4,15,4.71,21,2.93,15,-1,0.18,0.87,0.23,0.23,0.01
telltale,8,5,14,5.33,15,4.43,14,5.57,14,1.67,21,1.73,15,-0.81,0.64,-0.08,0.35,-1.76,-1.14
tenfold,7,5.64,14,5.6,15,3.87,15,2.47,15,1.95,21,1.73,15,-0.22,0.86,-0.55,-1.82,-1.57,-1.14
textbook,8,7,14,3.93,15,5.93,15,6.33,15,6.67,21,2.6,15,1.01,-0.56,1.17,0.88,1.51,-0.31
thoroughbred,12,5.21,14,5.73,15,4.77,13,6.47,15,3.38,21,2.6,15,-0.61,0.98,0.2,0.98,-0.64,-0.31
threadbare,10,3.5,14,5.87,15,3.38,8,5.77,13,2.9,21,3.13,15,-2.17,1.09,-0.96,0.49,-0.95,0.21
threadlike,10,4.57,14,5.33,15,5.33,15,2.87,15,3.9,21,2.07,15,-1.2,0.64,0.67,-1.54,-0.3,-0.82
threesome,9,6.86,14,5.93,15,3.87,15,2,15,5.52,21,3.8,15,0.88,1.15,-0.55,-2.15,0.76,0.85
throughout,10,6.79,14,4.8,15,3.5,14,3.73,15,1.38,21,1.47,15,0.81,0.18,-0.86,-0.93,-1.95,-1.4
throwback,9,6.21,14,5.6,15,3.29,14,6.2,15,2.86,21,2.07,15,0.29,0.86,-1.04,0.79,-0.98,-0.82
tightrope,9,5.93,14,4.73,15,4.46,13,6.53,15,5.81,21,3.6,15,0.04,0.12,-0.06,1.02,0.95,0.65
tightwad,8,3.93,14,6.33,15,3.31,13,3.25,12,2.19,21,1.4,15,-1.78,1.49,-1.02,-1.27,-1.42,-1.46
tiptoe,6,7,14,2.13,15,5.27,15,5.73,15,5.57,21,3.67,15,1.01,-2.1,0.61,0.46,0.79,0.72
