word_spanish,concrete_mean,familiar_mean,similar_word,similarity_mean,similarity_sd,concrete_mean_similar_word,familiar_mean_similar_word,less_similar_word,less_similarity_mean,less_similarity_sd,concrete_mean_less_similar_word,familiar_mean_less_similar_word,,,,,,,,,,,,,
fregadero,6.28,5.31,lavadero,7.6,1.22,5.37,5.22,bañera,4,2.02,6.32,6.64,,,,,,,,,,,,,
fresa,5.88,6.69,cereza,6.4,1.94,6.5,6.7,nuez,3.5,2.08,5.72,5.06,,,,,,,,,,,,,
garbanzos,6.75,6.15,lentejas,6.97,1.35,6.44,5.59,fideos,4.72,2.28,6.06,5.69,,,,,,,,,,,,,
gasolina,6.22,6.47,petróleo,6.73,2,6.27,5.36,agua,2.47,1.36,6.11,6.87,,,,,,,,,,,,,
golosina,4.55,5.95,chocolate,5.62,2.03,6.13,6.68,pan,3.03,1.85,6.25,6.8,,,,,,,,,,,,,
gorrión,6.2,4.05,golondrina,6.47,1.85,6.18,4.43,ardilla,4.27,2.05,6.39,5.8,,,,,,,,,,,,,
guisante,6.4,5.9,judía,6.57,1.76,5.15,5.28,patata,4.47,1.98,6.19,6.78,,,,,,,,,,,,,
habas,5.95,4.05,judías,7.43,1.7,5.15,5.28,cacahuetes,2.9,1.95,6.35,6.39,,,,,,,,,,,,,
hacha,6.35,3.95,martillo,5.38,2.04,5.9,5.63,destornillador,2.79,1.92,6.6,5.65,,,,,,,,,,,,,
hijo,5.68,6.1,nieto,5.43,1.53,6.23,5.63,yerno,4.63,2.06,6.3,5.35,,,,,,,,,,,,,
hilo,5.83,6.61,lana,6.23,2.03,5.64,6.38,cadena,4.5,2.32,4.14,6.56,,,,,,,,,,,,,
hinojo,5.22,3.1,tomillo,5.89,2.5,6.37,5.05,almendro,2.86,1.94,6.7,5.3,,,,,,,,,,,,,
hogar,4.89,6.6,apartamento,6.87,1.07,5.8,5.23,guarida,4.83,1.95,4.69,4.22,,,,,,,,,,,,,
hoja,5.26,6.18,pétalo,5.07,2.08,5.75,6.15,pradera,2.97,2.2,6.05,5.41,,,,,,,,,,,,,
