word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
détonateur,78.1,18.493,30,100,22,7.861,8.023
détonation,78.182,19.803,43,100,22,8.429,8.655
détour,90.421,13.301,50,100,19,4.689,6.603
détresse,86.5,16.106,50,100,22,6.09,6.315
deuil,87.417,18.865,13,100,24,3.608,1.227
devant,97.136,5.726,88,100,22,3.752,1.822
développement,92.625,7.745,75,100,16,4.828,4.955
déviation,89.714,13.997,50,100,21,5.85,6.577
devin,70.708,32.581,0,100,24,6.449,6.869
devinette,92.762,11.3,68,100,21,6.234,6.26
devis,62.762,35.508,0,100,21,6.371,7.955
devise,81.895,24.395,16,100,19,6.129,7.129
dévoilement,86.75,12.471,58,100,16,5.23,4.303
devoir,94,6.346,82,100,16,4.092,3.772
dévotion,78.333,27.623,13,100,24,6.617,6.644
dextérité,86.864,25.432,0,100,22,4.052,2.142
diagnostic,91.211,11.877,50,100,19,7.205,10.724
diagonale,86.524,17.366,50,100,21,6.172,6.124
diapason,53.136,39.708,64,100,22,4.782,1.685
diapositive,82.1,18.026,25,100,20,7.252,8.116
dictaphone,60.591,26.302,0,100,22,5.987,4.993
dictature,82.409,21.615,27,100,22,5.579,6.553
dictée,95.045,7.352,74,100,22,3.79,1.579
diction,58.667,26.387,15,100,24,5.914,1.499
dicton,64.7,29.331,0,100,20,5.295,6.184
dièdre,4.5,13.233,0,50,22,8.235,5.878
diesel,84.048,19.656,37,100,21,5.674,7.319
difficulté,89.429,13.699,50,100,21,4.136,2.587
diffusion,86.421,17.592,50,100,19,7.575,11.852
digestion,89.273,12.744,50,100,22,6.175,7.451
dignité,86.273,15.072,50,100,22,12.975,33.809
dilemme,86.158,12.975,57,100,19,5.408,4.912
diligence,57.091,29.287,12,100,22,6.387,6.104
dilution,74,25.248,0,100,16,5.992,5.196
dimanche,96.533,6.255,80,100,16,5.739,6.048
diminutif,72.95,26.926,0,100,21,5.564,3.93
dinde,88.05,20.114,28,100,20,5.018,3.968
dindon,84.792,18.879,45,100,24,10.93,24.255
dîner,89,10.257,50,100,24,4.44,1.808
dînette,68.435,32.508,0,100,24,7.633,16.07
dinosaure,87.9,15.858,50,100,20,7.021,8.361
diplôme,95.429,6.4,79,100,21,6.186,6.287
direction,85.095,16.143,50,100,21,4.882,4.257
directive,88.136,16.267,50,100,22,5.772,6.871
disciple,82.158,21.619,38,100,19,5.139,4.865
discipline,88.765,12.518,50,100,17,5.382,5.512
discorde,66.667,25.253,5,100,21,7.449,8.076
discrétion,92.818,11.967,77,100,22,4.56,3.021
discussion,92.571,17.549,23,100,21,6.565,5.537
disparition,87.316,15.599,50,100,19,6.532,8.156
disparu,86.947,16.585,50,100,19,5.241,3.862
dispensaire,53.286,32.005,0,100,21,4.793,3.496
disponibilité,92.684,12.945,50,100,19,6.373,8.256
dispositif,81,16.781,50,100,24,4.444,1.376
disposition,75.143,23.699,24,100,21,7.674,10.023
dispute,87.571,14.225,50,100,22,8.074,8.968
disque,92.143,12.792,50,100,21,8.415,11.855
disquette,82.591,23.522,3,100,22,6.128,7.085
dissertation,86.158,17.043,50,100,19,7.279,11.092
distance,87.056,13.888,50,100,19,8.346,11.847
distinction,72.529,24.293,50,100,17,5.742,2.962
distorsion,66.048,28.451,0,100,22,6.831,5.857
distraction,86.333,12.307,50,100,24,7.253,4.918
distribution,83.762,15.805,50,100,22,12.31,22.697
diva,62.875,39.353,24,100,24,3.525,0.42
diversité,87.636,12.538,50,100,22,3.569,1.266
divinité,87.684,16.296,57,100,19,7.348,12.246
division,89.542,11.398,61,100,24,5.169,3.518
divorce,94.619,6.184,79,100,21,4.717,4.053
dix,93,14.182,50,100,22,5.679,6.856
docteur,96.727,5.193,12,100,22,12.023,37.79
doctrine,72.048,27.458,0,100,21,8.665,12.232
document,90.818,14.618,50,100,22,6.118,7.116
documentaire,92.474,9.204,78,100,19,6.31,5.96
documentation,89.789,14.972,49,100,19,5.97,4.856
doigt,97.25,11.159,50,100,20,3.899,0.808
doigté,88.5,12.318,56,100,16,5.877,5.46
dol,21.471,34.083,0,100,17,6.086,3.747
dollar,95.895,9.938,63,100,19,6.462,10.228
dom,25.045,30.28,0,97,22,6.16,4.61
domicile,94.05,6.955,76,100,21,5.162,4.22
domination,92.05,8.846,70,100,20,4.637,2.072
domino,86.529,14.552,50,100,17,4.917,5.191
dompteur,74.957,31.253,0,100,24,5.035,3.305
doré,93.773,9.237,69,100,22,3.899,4.105
dortoir,78.095,27.504,0,100,21,3.507,1.869
dosage,85.75,13.521,50,100,24,6.513,6.114
double,85.364,16.803,50,100,22,8.099,8.768
douceur,93.474,10.357,63,100,19,4.398,2.77
douche,94.167,11.97,52,100,24,3.86,1.715
douille,68.476,26.377,0,100,21,4.43,2.047
douillette,81.545,31.831,0,100,22,6.614,12.675
douve,13.85,22.675,0,72,21,6.556,7.123
doux,93.619,13.414,44,100,22,4.423,2.511
douze,91.947,14.942,50,100,19,6.154,7.931
dragée,59.316,37.166,0,100,19,6.793,10.738
drapeau,96.773,5.07,0,100,22,5.031,7.319
droit,92.409,9.84,63,100,22,7.911,10.52
dromadaire,75.789,20.349,45,100,19,3.666,1.399
dualisme,57.048,35.257,0,100,22,5.965,3.595
dualité,77.824,19.285,50,100,17,5.796,7.089
duchesse,81.773,24.067,50,100,22,4.095,3.387
dune,77.292,33.78,0,100,24,6.75,9.749
durée,95.182,6.352,80,100,22,4.044,2.123
dureté,88.292,13.298,50,100,24,7.091,8.728
dynamique,89.667,13.691,52,100,24,4.355,2.686
ébullition,93.455,19.282,84,100,22,4.635,5.096
écaille,80.526,22.923,2,100,19,9.848,13.929
écart,87.045,16.244,50,100,22,4.297,1.991
échalote,88.545,23.274,0,100,22,7.612,11.916
échange,85.65,17.172,50,100,20,6.037,4.324
écharpe,91.053,13.398,50,100,19,3.867,2.707
échauffement,88.909,14.273,50,100,22,7.233,7.395
échec,86.3,18.582,50,100,20,5.154,4.333
échelle,95,5.413,83,100,21,8.581,12.015
échine,31.571,37.62,0,100,22,4.544,1.674
échiquier,67.684,39.651,0,100,19,5.564,3.288
éclair,87.952,15.895,50,100,21,5.318,5.612
éclairage,94.571,7.567,76,100,21,5.65,3.984
éclaircie,86.292,15.032,44,100,24,4.447,2.69
éclat,81.474,19.727,38,100,19,6.901,5.38
éclatement,84.737,25.761,40,100,19,6.738,4.836
éclosion,84.952,17.331,33,100,21,9.41,11.742
école,90.9,19.684,25,100,20,3.605,1.751
écolier,88.368,16.721,50,100,19,5.65,11.066
économie,89.182,14.298,50,100,22,6.369,6.01
économique,95.818,7.638,13,100,22,3.622,1.241
écorce,76.364,35.67,0,100,22,4.807,3.88
écoute,88.227,15.137,50,100,22,6.476,7.774
écouteur,97.05,5.633,79,100,20,6.161,9.611
écrevisse,66,26.518,32,100,24,3.725,0.808
écritoire,37.81,38.022,0,100,21,5.051,2.903
écrivain,92.429,9.548,73,100,22,8.029,9.728
écrou,55.5,38.629,0,100,22,8.081,9.904
écu,36.182,37.118,0,100,22,7.237,7.978
écueil,27.111,34.356,0,95,19,4.346,2.199
écume,65,29.656,0,100,20,4.092,3.099
écureuil,96.143,5.434,82,100,21,4.916,3.813
écurie,80.318,22.616,16,100,22,6.46,4.344
écusson,70.364,25.182,0,100,22,8.334,14.537
édifice,89.571,14.746,50,100,21,5.849,6.209
édition,79.95,21.855,17,100,20,7.763,12.986
édredon,57.417,38.906,0,100,24,7.903,15.255
efficacité,86.409,21.469,7,100,22,5.484,5.354
effleurement,62.053,31.499,0,100,19,7.526,9.707
effroi,81.05,20.806,17,100,21,5.164,3.476
égalité,94.5,7.918,50,100,24,4.056,1.485
églantine,25.714,29.528,0,100,24,5.231,1.046
église,87.81,17.549,35,100,21,5.573,6.242
égoïsme,90.167,9.326,40,100,24,3.768,0.393
élaboration,88.2,13.667,50,100,20,7.79,8.38
élan,84.136,18.969,47,100,22,4.697,4.311
élastique,96.5,6.006,80,100,22,3.766,2.023
électrode,76.682,24.55,11,100,22,5.523,4.863
électron,80,24.306,18,100,24,3.67,0.571
élégance,85.19,18.234,50,100,21,6.503,9.232
élément,82.455,19.195,39,100,22,7.736,9.69
éléphant,89.824,13.02,50,100,17,3.786,1.814
élève,95.048,5.766,82,100,21,3.468,1.608
élite,89.227,15.73,50,100,22,4.188,2.6
éloge,84.955,23.566,1,100,22,9.853,12.664
éloquence,78.864,23.697,6,100,22,6.091,4.974
émail,85.208,22.637,18,100,24,5.899,3.314
embarras,87,15.635,50,100,19,4.759,3.076
embouteillage,89.875,13.639,50,100,24,4.649,7.432
embrochement,39.8,33.237,0,100,21,9.287,11.841
émeraude,78.579,29.271,1,100,19,7.465,6.355
émission,96.909,4.81,50,100,22,3.433,1.39
emmenthal,53.591,37.997,0,100,22,10.144,21.223
émoi,73.208,32.81,0,100,24,4.886,4.529
émotion,89.792,22.681,52,100,24,5.773,8.063
empereur,80.7,19.369,34,100,20,6.121,7.205
empire,90.476,10.884,61,100,21,6.453,7.384
emplacement,82.9,20.983,24,100,20,6.651,7.438
emploi,95.526,6.022,84,100,19,5.32,4.759
employé,92,4.899,42,100,24,6.963,6.867
employée,91.364,13.393,50,100,22,4.141,3.89
employeur,83.333,18.117,50,100,21,5.699,5.36
empreinte,78.571,23.884,6,100,21,14.337,37.11
emprunt,92.727,10.842,61,100,22,6.158,9.434
enclos,74.905,27.769,0,100,21,5.726,5.977
enclume,54.667,38.686,0,100,21,4.887,2.968
encre,90.81,12.396,59,100,21,6.625,6.61
encrier,49,36.442,1,100,24,4.477,0.498
endive,53.4,40.663,0,100,21,5.07,4.667
enduit,54.789,30.684,0,100,19,6.172,6.611
énergie,92.684,9.575,66,100,19,4.385,3.492
enfant,94.737,11.642,50,100,19,5.342,6.807
enfer,94.773,9.175,67,100,22,4.929,2.603
enflure,52.6,45.804,50,100,24,3.691,0.882
engagement,85.125,14.633,50,100,16,4.744,3.781
engin,81.5,24.652,7,100,24,7.126,11.711
engorgement,82.318,19.33,22,100,22,6.756,4.308
énigme,92.958,10.243,61,100,24,5.884,5.59
enjeu,88.545,14.703,50,100,22,4.976,2.653
ennemi,92.333,9.73,66,100,16,5.647,6.628
ennui,90.591,13.326,50,100,22,4.032,1.9
enrouement,32.737,34.631,0,100,19,5.692,3.006
enseignant,93.909,11.848,50,100,22,4.356,4.314
enseigne,89,14.04,55,100,19,7.267,12.176
ensemble,92.4,13.911,50,100,20,4.732,2.106
entaille,74.273,23.835,19,100,22,4.805,4.716
entente,93.455,10.354,62,100,22,4.218,2.47
enthousiasme,94.19,6.802,81,100,21,5.203,4.511
entonnoir,88.368,17.16,39,100,19,3.733,1.33
entrain,81,16.586,50,100,22,6.575,8.377
entreprise,88.053,15.27,44,100,19,4.493,3.6
entretien,86.333,9.114,67,100,24,3.932,1.101
entrevue,85.842,16.87,50,100,19,6.226,7.824
enveloppe,94.545,8.506,70,100,22,4.602,3.478
envers,82,24.673,75,100,22,5.606,4.044
envoi,84.833,18.869,50,100,19,5.399,3.619
envol,89.632,13.598,50,100,19,3.816,2.281
envoûtement,67.045,28.696,0,100,22,6.292,6.054
enzyme,73.9,23.764,34,100,20,4.58,2.57
épaisseur,91.389,13.102,50,100,19,4.695,5.631
épargne,87.429,14.016,50,100,21,7.058,8.506
épaule,96.636,5.876,67,100,22,4.48,4.822
épave,77.958,32.985,0,100,24,5.054,4.579
épée,91,13.561,50,100,19,2.967,1.124
éperon,32.421,39.06,0,98,19,5.325,2.903
épi,71.474,33.034,4,100,19,5.262,4.988
épicerie,91.105,13.312,50,100,19,5.176,2.821
épidémie,82.864,24.33,1,100,22,6.318,10.142
épinards,95.522,10.501,50,100,24,4.41,3.213
épine,84.818,23.553,0,100,22,7.304,10.434
épinette,50.25,38.57,0,100,24,12.322,22.656
épingle,92.087,14.065,50,100,24,4.893,5.962
épisode,85.048,15.5,50,100,21,7.359,8.907
éponge,94.143,8.314,71,100,21,8.277,10.689
épopée,64.476,25.384,0,100,21,6.615,6.592
époque,86.875,16.31,44,100,24,9.451,18.368
épouse,89.833,16.029,36,100,24,5.407,4.254
épouvantail,89.667,8.066,35,100,24,3.825,0.459
époux,91.167,8.183,50,100,24,4.052,1.554
épreuve,90.182,13.975,50,100,22,5.211,3.789
éprouvette,87.909,22.405,3,100,22,3.993,1.647
équerre,79.316,19.264,41,100,19,3.962,1.34
équilibre,85.4,22.18,18,100,20,5.114,4.753
équipage,85.235,14.18,50,100,17,7.877,10.035
équipement,94,6.455,81,100,19,6.471,3.646
équitation,91.727,12.661,50,100,22,4.022,2.203
équité,90.333,17.542,39,100,21,4.931,3.339
équivalent,88.625,16.458,37,100,24,7.224,10.599
érable,90.864,16.117,50,100,22,5.668,5.792
erreur,88.905,14.195,50,100,22,6.549,7.643
éruption,81.818,24.283,0,100,22,7.271,10.588
escadrille,33.95,39.333,0,100,20,8.756,13.871
escale,73.5,16.306,50,100,24,4.137,1.189
escalier,92.6,13.308,50,100,20,5.54,4.557
escargot,92.2,13.617,50,100,20,4.552,2.416
esclave,84.765,15.127,50,100,17,6.047,6.444
escompte,71.211,32.214,0,100,19,4.942,2.806
espadon,50.35,40.044,0,100,20,5.778,4.522
espérance,89.364,14.178,50,100,22,4.533,2.567
espion,84.136,28.367,0,100,22,4.462,2.732
esplanade,51.318,37.692,0,100,22,5.885,4.768
espoir,90.737,13.703,50,100,19,8.299,11.712
esquimau,77.45,21.027,36,100,20,5.084,5.219
essai,85.905,17.044,50,100,22,7.045,9.277
essence,94.429,6.145,81,100,21,5.074,3.552
essieu,46.458,35.191,0,100,24,9.721,9.925
essor,61.842,33.555,0,100,19,8.973,13.596
essoufflement,83.545,23.046,0,100,22,7.892,10.895
estime,92.789,8.101,73,100,19,5.008,3.737
étable,85.176,16.957,50,100,17,5.566,5.302
établi,80.368,27.189,0,100,19,6.057,3.91
établissement,89.25,15.264,41,100,24,5.52,5.259
étagère,93.864,11.667,0,100,22,3.648,2.437
étalon,81.875,24.878,10,100,24,8.502,10.84
étamine,27.091,35.873,0,100,22,6.062,3.232
étang,86.412,15.358,50,100,17,7.014,8.083
étape,86.833,7.333,50,100,24,5.028,1.815
été,96.2,6.236,83,100,16,7.674,9.302
étendue,88.762,15.01,50,100,22,7.489,9.211
étincelle,92.563,10.954,57,100,16,4.821,4.294
étoffe,53.292,33.004,0,100,24,5.668,3.577
étoile,95.267,5.535,86,100,16,5.204,6.48
étonnement,89.5,9.839,68,100,16,4.882,3.805
étourderie,52.136,37.264,0,100,22,6.023,4.324
étourdissement,87.125,14.317,50,100,24,4.895,3.203
étranger,91.19,11.431,50,100,21,7.082,7.108
étreinte,67.208,36.665,0,100,24,5.532,4.737
étrier,43.842,38.065,0,100,19,4.935,3.492
étui,92.227,11.788,61,100,22,5.78,4.693
euphorie,88.35,17.37,30,100,20,6.346,4.44
évacuation,83,18.012,48,100,20,7.311,8.087
évaluation,84.632,16.091,50,100,19,5.657,3.628
évasion,87.263,15.231,50,100,19,7.507,11.98
éveil,86.083,21.35,8,100,24,5.977,8.407
événement,92.263,13.613,50,100,19,7.475,11.682
éventail,89.375,21.575,0,100,24,6.781,9.73
évêque,73.667,28.458,5,100,19,8.919,12.937
éviction,63.789,30.349,9,100,19,4.888,3.04
évidence,85.158,15.475,50,100,19,8.292,7.705
évier,85.667,11.759,50,100,24,4.302,1.265
exaltation,74.091,30.153,0,100,22,5.371,8.052
excellence,95.727,7.356,0,100,22,4.706,2.398
exception,86.476,16.684,50,100,21,5.549,5.396
excès,86.429,14.4,50,100,22,7.222,14.212
excitabilité,75.045,25.948,15,100,22,6.918,5.731
excitation,94.526,7.82,71,100,19,5.326,5.622
exclamation,95.409,6.464,80,100,22,6.577,10.989
exclusion,83.905,15.205,43,100,21,6.329,7.062
exclusivité,86.211,17.342,50,100,19,4.534,2.727
exécution,85.3,19.372,29,100,20,4.361,2.339
exigence,93,7.623,72,100,21,4.524,4.417
exil,83.5,26.538,0,100,24,5.828,7.718
existence,91.727,10.868,2,100,22,7.844,13.889
exotisme,84.95,19.368,28,100,20,5.865,3.518
expansion,87.955,17.316,40,100,22,6.258,6.257
expédition,89,17.305,45,100,24,6.209,8.154
expert,87.318,15.239,50,100,22,6.184,6.278
expertise,92.091,12.6,50,100,22,4.935,4.586
exploit,86.083,13.894,50,100,24,4.367,2.224
exploitation,87.364,14.374,50,100,22,9.361,8.815
explosion,94.571,5.853,78,100,21,6.072,5.695
exportation,81.579,19.277,27,100,19,5.895,5.089
exposé,86.067,15.632,50,100,16,7.842,8.28
exposition,88.476,13.246,50,100,22,7.244,7.731
expression,90.318,12.586,50,100,22,3.684,3.166
expulsion,85,14.093,58,100,17,5.076,3.276
extase,86.55,14.529,62,100,20,5.077,2.992
extension,81.043,20.424,19,100,24,7.513,11.238
extraction,79.706,18.182,50,100,17,5.975,4.518
extrait,82.818,15.996,50,100,22,5.758,4.998
exubérance,65.952,30.544,0,100,21,5.144,3.216
fable,85.684,19.067,35,100,19,5.604,4.247
fabrication,86.95,16.392,50,100,20,5.55,5.836
facette,79.5,25.744,0,100,22,5.284,5.549
fâcheux,90.909,13.547,50,100,22,3.389,1.196
façon,86.833,10.797,32,100,24,3.757,1.081
facture,93.81,8.238,74,100,22,6.485,7.69
faculté,89.158,15.262,50,100,19,6.791,7.627
faille,81.632,24.575,50,100,19,7.12,7.219
faillite,86.238,19.562,34,100,21,8.377,8.552
faim,97.545,3.863,74,100,22,5.974,4.373
fainéant,86.176,14.063,50,100,17,6.225,7.886
faire-part,57.222,36.016,0,100,19,4.481,1.557
faisan,51.714,36.103,0,100,22,5.496,2.981
faisceau,69.3,29.083,16,100,20,7.867,7.202
faîte,47,38.936,0,100,24,5.892,1.957
fakir,37.05,35,0,99,22,3.969,1.642
famille,94.526,10.041,63,100,19,5.174,4.074
famine,84.25,20.575,23,100,24,4.359,2.084
fan,89.048,14.023,50,100,21,7.452,14.979
fanfare,79.042,28.299,0,100,24,4.243,2.533
fanion,26.136,34.706,0,100,22,5.999,5.37
fantaisie,86.9,17.959,31,100,20,5.199,4.576
fantôme,91.263,13.37,50,100,19,9.709,25.488
faon,52.619,41.846,0,100,21,4.774,2.219
fard,51.765,35.333,0,100,17,8.739,11.494
fascicule,50.571,38.475,0,100,22,7.063,8.042
faste,30.417,36.541,0,96,24,6.411,5.655
fatalité,75.95,31.688,12,100,20,6.197,5.944
faubourg,65.75,27.93,4,100,20,7.77,12.022
faucon,75.333,26.555,0,100,19,5.297,3.217
faussaire,37.5,35.377,0,100,22,5.847,4.52
faute,87.55,16.728,50,100,20,5.48,5.809
fauve,54.105,34.812,0,100,19,7.399,7.527
faveur,88.211,11.933,68,100,19,3.593,1.782
fécondité,88.917,13.584,50,100,24,5.034,5.339
fédération,76.789,23.023,25,100,19,7.607,9.24
feinte,70,32.9,0,100,24,7.475,7.961
femme,91.833,8.377,76,100,24,3.69,1.127
fémur,80.045,24.676,5,100,22,5.575,4.637
fenêtre,96.5,6.255,78,100,22,6.611,5.235
fente,85.762,18.398,38,100,21,4.787,2.235
fer-à-cheval,80.636,25.924,0,100,22,9.901,14.551
fermeté,82.857,17.627,48,100,21,7.348,7.796
fermeture,92.556,11.908,50,100,19,5.932,7.773
ferrailleur,58.955,32.746,0,100,22,4.561,2.212
fertilité,90.632,15.045,40,100,19,6.518,6.26
ferveur,45.111,32.631,0,100,19,6.057,3.693
fesse,92,14.356,50,100,22,3.482,1.332
festin,91.789,10.664,63,100,19,4.436,3.343
festival,93.053,11.098,69,100,19,5.999,6.838
fête,94.048,11.404,50,100,21,5.334,5.808
fétiche,75.682,25.404,0,100,22,5.584,6.759
feu,91.412,13.929,50,100,17,5.964,11.387
feuillage,83.526,25.881,0,100,19,6.826,12.189
feuillet,72.632,30.207,0,100,19,4.65,2.32
feuilleton,84.864,25.511,0,100,22,4.268,2.483
février,88.857,15.982,50,100,22,4.361,3.277
fez,16,22.45,0,68,17,6.266,6.12
fiabilité,89.917,12.918,50,100,24,7.102,9.397
fiacre,22.211,33.819,0,100,19,6.021,3.911
fiancé,93.313,9.322,72,100,16,3.632,2.104
fiancée,92.682,11.412,50,100,22,5.876,6.85
fiasque,25.368,32.657,0,100,19,5.517,2.48
fibre,79.176,24.35,0,100,17,4.488,2.107
ficelle,86.813,20.459,27,100,16,6.544,6.664
fichier,91.864,9.623,68,100,22,6.778,6.441
fiction,90.25,11.156,61,100,16,5.737,5.284
fidélité,92.636,9.747,64,100,22,5.322,3.721
fief,23.25,26.811,0,78,20,4.842,4.206
fiel,19.263,28.952,0,100,19,6.67,6.91
fiente,44.688,40.519,0,100,16,7.32,9.999
fierté,92.292,10.289,69,100,24,4.659,3.963
figue,75,30.482,60,100,17,6.576,6.296
figure,92,9.222,64,100,21,4.947,3.489
fil,90.292,14.666,55,100,24,7.733,13.314
fille,97.895,4.122,87,100,19,4.823,4.098
filleul,82.875,16.074,57,100,16,7.916,6.376
film,93.292,11.273,50,100,24,4.627,2.489
filon,41.5,38.134,0,100,24,10.578,14.775
filou,38.421,37.051,0,100,19,5.21,5.49
fils,92.095,12.373,50,100,22,6.377,5.291
fin,92.941,7.98,75,100,17,5.813,4.405
finale,89.375,11.5,57,100,24,6.301,7.054
finance,88.458,15.157,47,100,24,5.883,6.152
financement,84.273,18.724,50,100,22,4.372,3.752
financier,86,19.126,27,100,21,4.805,4.307
finesse,90.474,11.544,60,100,19,5.483,5.713
fiole,69.091,31.867,0,100,22,4.994,4.908
fiord,32.737,34.341,0,100,19,8.757,9.454
firmament,66.048,35.316,0,100,21,8.273,13.073
fisc,58.5,26.94,0,100,22,4.448,2.35
fissure,87.5,21.934,0,100,22,5.739,6.781
fiston,84.333,23.14,0,100,24,6.418,5.538
flacon,84.857,15.49,50,100,21,7.381,9.429
flamand,70.125,32.876,0,100,24,5.946,3.707
flambeau,83.81,17.069,41,100,21,7.762,12.279
flambée,77.864,22.334,18,100,22,4.454,2.173
flammèche,55.368,40.57,2,100,19,5.52,4.045
flanc,69.042,34.858,5,100,24,7.256,8.451
flaque,87.789,15.39,50,100,19,5.799,5.586
flasque,72.208,27.953,0,100,24,4.572,2.251
fléau,77.111,30.062,0,100,19,3.773,1.815
flèche,93.333,7.405,77,100,21,4.9,3.953
fléchette,87.045,22.257,0,100,22,4.734,4.132
fleur,96,6.066,84,100,16,3.473,1.525
fleuriste,92.182,10.839,61,100,22,4.878,2.432
fleuve,91.818,10.649,57,100,22,6.877,6.174
flic,89.476,14.525,50,100,21,5,3.065
flirt,86.842,15.342,43,100,19,4.127,1.63
floraison,89.05,15.514,39,100,20,9.375,14.724
flore,84.333,17.095,50,100,21,4.607,2.318
flottage,63.409,32.931,0,100,22,8.076,8.474
fluidité,85.435,17,50,100,24,6.296,6.51
flux,75.182,32.272,0,100,22,5.274,5.385
foi,83.45,16.694,42,100,21,6.427,7.306
foire,85.591,18.21,39,100,22,4.148,2.953
folie,88.579,14.5,59,100,19,4.141,3.23
fonctionnaire,75.167,26.385,22,100,24,5.273,1.769
fondation,89.409,14.559,42,100,22,6.467,11.134
fonte,76.476,21.775,36,100,21,5.734,4.558
force,93.375,7.823,75,100,24,5.478,5.707
forêt,89.737,13.787,50,100,19,5.349,4.94
foreuse,66.048,35.566,0,100,22,7.401,10.14
format,85.143,16.683,50,100,21,3.469,1.756
formule,95,7.323,0,100,22,6.824,10.239
forteresse,79.286,18.741,35,100,21,6.796,8.354
forum,70.619,23.489,36,100,22,6.436,7.124
fosse,80.563,26.255,0,100,16,7.426,9.914
fossé,82.318,29.396,1,100,22,4.937,4.704
fossile,85.833,15.282,50,100,24,4.072,2.44
foudre,90.65,11.735,50,100,21,4.05,1.732
fouet,87.905,17.415,20,100,21,6.414,6.423
fougère,71.316,31.496,1,100,19,5.761,7.266
fougue,66.895,30.692,0,100,19,4.594,2.315
fouille,81.263,25.845,3,100,19,6.723,5.785
fouine,71.333,27.118,11,100,24,5.577,4.607
foulard,89.05,22.735,2,100,21,6.988,12.199
foulure,74.053,31.964,0,100,19,6.037,4.981
four,91.458,15.817,50,100,24,4.26,3.055
fourberie,42.381,32.913,0,100,21,7.53,7.63
fourche,81,23.092,28,100,19,6.362,7.294
fourchette,97.2,5.833,82,100,16,4.329,3.64
fourmi,89.636,13.706,50,100,22,6.16,6.032
fourneau,83.591,27.312,0,100,22,4.049,3.697
fournisseur,81.19,19.816,37,100,21,7.169,6.215
fourre-tout,60.737,37.691,0,100,19,8.29,14.14
fourrure,90.833,16.985,37,100,24,3.769,1.696
fracas,74.091,28.808,0,100,22,7.576,9.829
fraction,92.714,8.106,78,100,21,5.374,6.559
fracture,84.208,23.286,9,100,24,6.995,8.432
fraîcheur,93.15,9.477,73,100,20,7.44,8.475
framboise,96.941,4.562,84,100,17,3.468,1.502
framboisier,83,15.582,50,100,24,4.647,1.912
franchise,77.833,20.836,40,100,19,5.468,4.495
frange,71.158,33.792,0,100,19,4.874,4.414
fraternisation,79.238,22.987,35,100,21,7.13,5.476
frayeur,78.65,26.1,0,100,20,5.487,2.545
frégate,54.235,36.127,0,100,17,5.176,3.798
frêne,51.316,38.177,0,100,19,8.625,12.977
fréquence,87.5,14.758,50,100,22,5.195,4.13
friabilité,46.381,39.437,0,100,21,7.209,5.269
friandise,94.857,7.458,78,100,21,6.754,12.227
fric,90.095,11.304,60,100,21,3.439,1.472
friche,25.15,28.418,0,94,20,6.61,11.43
friction,88.333,10.953,64,100,24,7.142,7.798
frigidaire,96.313,5.677,86,100,16,4.023,2.156
frigidité,60.545,29.389,19,100,22,7.769,8.303
frigo,95.625,6.12,80,100,16,4.622,2.8
frileux,89,16.671,45,100,24,5.007,3.142
fringues,75.524,29.135,0,100,21,5.925,6.283
fripe,48.714,36.733,0,100,21,5.445,4.224
frisson,94.048,9.014,74,100,21,9.068,13.18
frissonnement,86.545,23.543,10,100,22,7.645,10.456
froideur,84.524,16.176,50,100,22,4.341,2.235
froissure,51.563,28.837,0,100,16,7.124,6.672
fromage,94.684,12.014,50,100,19,4.208,2.492
fronde,28.619,34.504,0,100,21,4.916,2.479
frottement,87,20.762,30,100,24,5.376,3.807
fuel,53.5,37.732,0,100,24,7.749,9.695
fuite,89.318,12.919,50,100,22,5.028,4.206
fumier,83.143,19.502,25,100,22,4.928,4.052
fumiste,25.762,25.014,0,78,21,6.865,5.999
fureur,81.136,21.366,22,100,22,8.796,9.816
furie,66.273,37.294,0,100,22,5.298,3.648
fusée,91.684,12.957,50,100,19,3.319,1.637
fusil,92.5,15.74,31,100,20,5.95,5.894
fusion,85.364,16.285,50,100,22,6.689,7.998
futur,92.095,11.366,50,100,21,5.886,4.917
futuriste,88.304,15.95,43,100,24,7.306,7.016
gâchis,85.045,23.919,0,100,22,4.31,2.756
gaffe,87.591,15.747,50,100,22,4.451,3.277
gaieté,88.789,22.7,4,100,19,6.642,9.091
gain,94.136,8.419,0,100,22,6.652,7.236
gaine,60.316,39.445,0,100,19,7.915,12.713
gala,89.083,17.666,37,100,24,5.533,4.347
galaxie,86.909,15.47,50,100,22,4.606,2.764
galère,68.421,27.034,0,100,19,4.384,2.098
galerie,84.353,15.544,50,100,17,6.551,8.846
galette,91.6,12.82,50,100,20,4.785,1.956
galop,91.167,8.796,50,100,24,3.398,0.51
galopin,30.136,36.888,0,100,22,4.871,2.774
gamelle,65.895,34.495,0,100,19,5.452,3.581
gamin,93.375,8.492,76,100,16,4.402,2.387
gangue,22.737,33.136,0,100,19,6.572,4.658
garage,92,9.849,74,100,16,7.934,12.859
garantie,92.455,12.542,50,100,22,4.554,4.413
garce,71.238,28.665,6,100,22,6.748,9.74
garçon,96.545,8.016,66,100,22,4.058,2.082
garde,85.318,16.087,50,100,22,6.692,4.931
