word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
arc,93.591,8.776,89,100,22,4.231,2.195
archer,68.143,33.118,0,100,22,7.218,7.691
archet,49.25,42.643,0,100,24,5.764,4.835
archipel,64.579,31.136,3,100,19,7.252,9.017
architecture,84.474,17.286,50,100,19,5.045,5.492
ardeur,74.947,26.486,14,100,19,6.811,5.553
arène,83.524,21.817,32,100,21,4.891,2.53
arête,80.714,19.573,38,100,21,5.84,3.236
argile,85.7,17.122,50,100,20,6.845,7.129
argot,29.125,31.078,0,100,24,6.746,6.671
argument,85.667,11.673,42,100,24,5.067,1.789
armistice,29.2,35.762,0,100,20,9.575,13.341
armoire,95.273,6.273,77,100,22,4.794,2.949
armure,91.955,21.196,0,100,22,5.037,5.932
arôme,89.053,14.089,50,100,19,5.132,4.487
arrivée,96.682,5.103,68,100,22,5.612,6.689
arrosoir,87.818,22.899,0,100,22,8.117,11.364
arsenal,74.864,30.36,0,100,22,3.434,0.958
artère,78.842,30.716,56,100,19,8.491,7.496
artichaut,83.263,24.057,5,100,19,6.637,5.987
articulation,89.25,15.096,41,100,20,5.318,5.198
artillerie,66,33.362,20,100,19,6.884,6.08
artisan,91,10.269,66,100,19,4.697,3.673
ascension,70.333,31.747,8,100,24,4.831,2.684
asile,90.222,13.278,59,100,19,4.071,1.507
aspect,82.167,14.372,50,100,24,5.032,4.098
asperge,87,18.268,50,100,22,7.782,9.472
asphalte,91.143,14.238,50,100,21,6.942,9.255
aspirateur,92.458,12.176,50,100,24,3.475,2.657
aspiration,87.947,16.798,42,100,19,5.003,4.697
aspirine,90.625,13.316,50,100,16,4.72,3.871
assaut,75.792,24.261,20,100,24,6.622,7.039
assemblée,86.667,15.384,50,100,24,6.726,7.243
assiette,93.417,16.37,44,100,24,5.704,6.079
assistanat,46.5,41.934,0,100,20,6.851,4.132
assistance,89.792,14.718,50,100,24,4.254,1.908
assistant,94.727,8.598,0,100,22,5.526,7.152
association,83.211,15.782,50,100,19,9.375,10.07
astronaute,88.773,15.452,50,100,22,5.518,5.274
astuce,80.222,26.271,50,100,19,4.522,4.728
atmosphère,81.632,19.256,38,100,19,6.137,6.995
atome,90.773,13.701,50,100,22,3.764,2.011
atout,82,22.778,0,100,22,3.782,1.434
âtre,13.947,26.536,0,74,19,6.221,5.029
attachement,88.375,12.061,58,100,24,8.092,10.045
attaque,86.682,17.554,50,100,22,6.183,3.701
atteinte,83.588,15.934,45,100,17,4.971,2.191
attelage,55.053,36.605,0,100,19,5.512,5.435
attendrissement,84.5,18.412,33,100,21,4.102,1.916
attirance,93.263,8.717,68,100,19,3.929,4.517
attraction,85.571,13.534,50,100,21,6.58,7.814
attrape,83.412,17.525,50,100,17,5.027,3.495
attribut,87.125,10.852,65,100,24,5.525,5.174
