word_indonesian,translate_word_english,valence_n_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_mean_male,dominance_sd_male,predictability_n_male,predictability_mean_male,prediability_sd_male,concrete_n_male,concrete_mean_male,concrete_sd_male,frequency_n_male,frequency_mean_male,frequency_sd_male,valence_n_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_mean_female,dominance_sd_female,predictability_n_female,predictability_mean_female,prediability_sd_female,concrete_n_female,concrete_mean_female,concrete_sd_female,frequency_n_female,frequency_mean_female,frequency_sd_female,valence_n_all,valence_mean_all,valence_sd_all,arousal_n_all,arousal_mean_all,arousal_sd_all,dominance_n_all,dominance_mean_all,dominance_sd_all,predictability_n_all,predictability_mean_all,prediability_sd_all,concrete_n_all,concrete_mean_all,concrete_sd_all,frequency_n_all,frequency_mean_all,frequency_sd_all
mesin,machine ,31,5.032258065,1.378014779,27,4.62962963,1.983550588,29,4.545454545,2.339386089,31,2.741935484,0.444802723,30,3.366666667,1.973677354,36,5.166666667,1.904880949,34,5.117647059,2.198687017,38,3.947368421,1.7850334,34,5.875,2.383138231,34,6.470588235,1.7792626,34,2.764705882,2.42535625,33,6.909090909,2.227156769,65,5.076923077,1.839732422,65,4.230769231,1.885547258,63,5.6,2.349081058,65,4.692307692,2.290763225,64,3.046875,2.228457275,69,6,2.229481607
mesra,intimate ,31,6.903225806,1.513381175,27,5,2.541955637,29,4.818181818,2.088931871,31,5.387096774,2.027764275,30,4.566666667,2.699723272,36,5.527777778,1.629831036,34,5.411764706,2.438549582,38,5.657894737,2.108878475,34,6,1.911066172,34,5.647058824,2.172588917,34,5.205882353,2.727851988,33,7.181818182,1.628928817,65,6.123076923,2.168724368,65,5.384615385,2.3027993,63,5.711111111,2.073887678,65,5.523076923,2.092454392,64,4.90625,2.712222482,69,6.31884058,1.818958603
metode,method ,31,5.483870968,0.769023959,27,3.740740741,2.246237754,29,5.272727273,1.848832555,31,4.032258065,2.415006846,30,4.6,1.693802089,36,4.694444444,1.997418969,34,5.294117647,1.89943232,38,4.815789474,2.011524407,34,5.958333333,2.115762103,34,6.588235294,1.671828015,34,5.029411765,2.443113936,33,7.484848485,1.90593173,65,5.384615385,1.465139794,65,4.369230769,2.161952465,63,6.044444444,1.96509953,65,5.369230769,2.414599027,64,4.828125,2.119858392,69,6.028985507,2.394669414
mewah,luxury ,31,5.741935484,2.097105019,27,4.259259259,1.483047605,29,4.545454545,2.161649202,31,4.741935484,2.235587051,30,5.833333333,2.290660699,36,4.777777778,1.868706369,34,6.470588235,1.673959091,38,5.447368421,2.214172634,34,6,2.431675035,34,6,1.906925178,34,4.617647059,2.871117467,33,6.787878788,2.0730047,65,6.123076923,1.908105182,65,4.953846154,2.018901072,63,5.688888889,2.457106782,65,5.4,2.14912773,64,5.1875,2.665922515,69,5.739130435,2.20061605
militer,military ,31,4.709677419,1.465003945,27,4.962962963,2.192320188,29,4.090909091,1.700267359,31,2.741935484,1.526821141,30,3.4,1.544735219,36,5.5,2.15804144,34,3.970588235,1.833778912,38,5.921052632,1.836294432,34,5.5,2.813013238,34,5.352941176,2.410612307,34,4.176470588,2.504185445,33,5.696969697,2.663231689,65,4.323076923,1.696574603,65,5.523076923,2.031837933,63,5.488888889,2.676685724,65,4.107692308,2.411710213,64,3.8125,2.129721645,69,5.594202899,2.396804494
mimpi,dream ,31,5.258064516,1.672677334,27,4.962962963,2.766301078,29,4.727272727,2.101947149,31,3.451612903,1.524001524,30,5.166666667,2.533681162,36,5.111111111,2.05325912,34,6.294117647,1.508147806,38,5.131578947,2.462376929,34,5.208333333,2.570385975,34,6.117647059,2.279881787,34,5.882352941,3.032797547,33,7.424242424,2.062012109,65,5.8,1.660195772,65,5.061538462,2.573160284,63,5.066666667,2.544155513,65,4.846153846,2.360023631,64,5.546875,2.811143853,69,6.217391304,2.350654259
mimpi buruk,nightmare ,31,3.677419355,1.886568256,27,5.962962963,2.311867069,29,4.545454545,1.752919642,31,3.967741935,1.622423516,30,5.7,2.493439668,36,5.416666667,1.991051409,34,2.647058824,2.028319994,38,5.763157895,2.530187585,34,4.125,2.609556018,34,5,2.651471861,34,6.470588235,2.351470128,33,6.757575758,2.449876311,65,3.138461538,2.014610098,65,5.846153846,2.425327099,63,4.288888889,2.510181288,65,4.507692308,2.264695598,64,6.109375,2.430736955,69,6.057971014,2.306538392
minat,interest ,31,6.096774194,2.1502688,27,4.407407407,2.373884503,29,4.272727273,1.848832555,31,3.677419355,1.469401165,30,5.433333333,2.712465901,36,5.222222222,2.256560102,34,6.529411765,2.676896599,38,5.421052632,2.70766259,34,6.875,1.895360468,34,7,1.517573821,34,5.941176471,2.718524293,33,7.393939394,2.045412457,65,6.323076923,2.43097005,65,5,2.604083332,63,6.355555556,2.175854645,65,5.415384615,2.235315328,64,5.703125,2.706134639,69,6.260869565,2.404971407
minuman,drinks ,31,5.322580645,1.136869877,27,3.777777778,1.717183144,29,3.545454545,2.252271581,31,2.709677419,1.321452443,30,3.966666667,2.281610643,36,5.5,1.483239697,34,5.705882353,2.431228792,38,4.657894737,2.396803229,34,5.833333333,2.219805449,34,6.176470588,2.180778124,34,2.647058824,2.333969865,33,7.606060606,2.105638174,65,5.523076923,1.921162509,65,4.292307692,2.170275594,63,5.288888889,2.464495359,65,4.523076923,2.513138553,64,3.265625,2.385419916,69,6.507246377,2.083712668
minyak tanah,kerosene ,31,5.193548387,1.424063548,27,3.518518519,2.592450139,29,3.727272727,2.053821272,31,1.967741935,0.706346042,30,2.8,1.562491379,36,5.5,1.715475777,34,4.882352941,2.056249983,38,4.552631579,2.049355448,34,4.75,2.641639807,34,4.941176471,2.187307414,34,2.941176471,2.60467152,33,6.424242424,2.475256338,65,5.030769231,1.776313165,65,4.123076923,2.328543619,63,4.511111111,2.546139879,65,3.523076923,2.222805746,64,2.875,2.16391767,69,5.942028986,2.148077512
mistik,mystical ,31,4.064516129,2.112431204,27,5.777777778,2.516611478,29,3.636363636,1.286291357,31,4.387096774,2.155263624,30,6.033333333,2.326508904,36,4.777777778,1.742102361,34,3.411764706,2.284568085,38,5.684210526,2.505186654,34,5.041666667,2.156469874,34,4.352941176,2.254723701,34,7.441176471,1.636536929,33,6.212121212,2.394754368,65,3.723076923,2.2115301,65,5.723076923,2.490655613,63,4.733333333,2.104108535,65,4.369230769,2.190670779,64,6.78125,2.096624271,69,5.463768116,2.186722703
mobil,car ,31,5.451612903,1.178663358,27,3.592592593,2.061725552,29,4.545454545,1.863525496,31,3.516129032,1.150969671,30,3.033333333,2.251181044,36,5.222222222,2.205332642,34,6.294117647,2.30321793,38,4.763157895,2.235272648,34,6.291666667,1.944427191,34,6.235294118,2.474828718,34,2.735294118,2.415967383,33,7.575757576,2.179883928,65,5.892307692,1.888477205,65,4.276923077,2.225615732,63,5.822222222,2.037030915,65,4.938461538,2.377478464,64,2.875,2.326520667,69,6.347826087,2.478294521
mobilitas,mobility ,31,4.774193548,0.956022225,27,4.074074074,2.092586289,29,4,1.732050808,31,3,0,30,6.1,2.591098822,36,4.861111111,1.6414763,34,5.882352941,1.871066879,38,5.473684211,1.870638597,34,5.458333333,2.302723655,34,4.882352941,2.056249983,34,5.735294118,2.12216047,33,5.636363636,2.088931871,65,5.353846154,1.595215201,65,4.892307692,2.07004738,63,5.288888889,2.180723631,65,3.984615385,1.754390098,64,5.90625,2.341609472,69,5.231884058,1.89538858
modar,dead,31,3.419354839,2.029354471,27,4.555555556,1.717183144,29,3.909090909,2.119176512,31,2.258064516,1.12450706,30,4.233333333,2.238893405,36,4.888888889,1.982462794,34,3.705882353,1.931076192,38,5.342105263,1.712849937,34,4.875,1.962972458,34,4.823529412,2.124469106,34,5.617647059,2.103600173,33,3.787878788,2.301596942,65,3.569230769,1.968257722,65,5.015384615,1.745461147,63,4.8,1.925900026,65,3.6,2.141844999,64,4.96875,2.260557243,69,4.362318841,2.196059402
monyet,monkey ,31,4,1.732050808,27,4.62962963,2.238614753,29,3.727272727,1.678744119,31,3.967741935,1.251235948,30,3.466666667,2.315365962,36,4.5,1.780850519,34,4.294117647,2.139518662,38,5,2.324952775,34,5.083333333,2.465706825,34,5.764705882,1.891909786,34,2.5,2.338738329,33,6.454545455,2.437864192,65,4.153846154,1.946397066,65,4.846153846,2.279190983,63,4.6,2.270362406,65,4.907692308,1.843256942,64,2.953125,2.359914496,69,5.434782609,2.323019466
moral,moral ,31,5.483870968,1.85958719,27,4.037037037,2.328444206,29,4.545454545,2.114882331,31,2.774193548,1.521176681,30,5.6,2.252967392,36,5.222222222,1.899039022,34,6.823529412,2.00711746,38,4.736842105,2.114099521,34,6.875,2.153106956,34,6.470588235,2.12111026,34,6.558823529,2.687695605,33,7.181818182,1.722181492,65,6.184615385,2.037862757,65,4.446153846,2.215222684,63,6.533333333,2.331601089,65,4.707692308,2.620371377,64,6.109375,2.520501257,69,6.15942029,2.055288647
motel,motel ,31,4.806451613,1.077631812,27,4.222222222,1.601281538,29,4,1.673320053,31,3.193548387,1.301777115,30,4.3,2.926101325,36,5,1.8516402,34,4.235294118,1.724314946,38,4.236842105,1.895003537,34,5.125,2.028331934,34,4.823529412,2.392799656,34,3.382352941,2.46201083,33,4.090909091,2.323300943,65,4.507692308,1.469726558,65,4.230769231,1.765726044,63,4.733333333,1.981734777,65,4.046153846,2.102310999,64,3.8125,2.707280015,69,4.565217391,2.124633262
muak,fed up ,31,3.483870968,1.630357174,27,4.555555556,2.207214279,29,3.363636364,1.286291357,31,2.451612903,1.120675679,30,5.733333333,2.14850924,36,4.972222222,2.15785755,34,2.705882353,1.661131629,38,4.921052632,1.991625425,34,4.958333333,2.216129934,34,6,2.510583658,34,6.029411765,2.095959954,33,6.484848485,2.265518872,65,3.076923077,1.679915291,65,4.769230769,2.074918905,63,4.533333333,2.13839362,65,4.307692308,2.651197117,64,5.890625,2.109067254,69,5.695652174,2.321918247
mual,nausea ,31,3.967741935,1.353609273,27,4.259259259,1.852079758,29,4.272727273,1.61807967,31,5,2.19089023,30,4.266666667,2.242740524,36,4.944444444,1.771914936,34,3.294117647,2.023040193,38,5.236842105,1.866261048,34,4.208333333,2.466808652,34,5.235294118,2.07523381,34,4.617647059,2.730464561,33,7.060606061,2.120427344,65,3.615384615,1.75617044,65,4.830769231,1.908609038,63,4.155555556,2.275916954,65,5.123076923,2.11769105,64,4.453125,2.500347198,69,5.956521739,2.205839727
